game_title,user_review_count,critic_review_count,developer,platforms,platform_count,Avg_Rank,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,metascore,Difficulty_Easy,Difficulty_Just_Right,Difficulty_Simple,Difficulty_Tough,Difficulty_Unforgiving,Play Time_<_1_Hour,Play Time_>=_80_Hours,Play Time_~1_Hour,Play Time_~12_Hours,Play Time_~2_Hours,Play Time_~20_Hours,Play Time_~4_Hours,Play Time_~40_Hours,Play Time_~60_Hours,Play Time_~8_Hours,Completion_Beat_It,Completion_Conquered_It,Completion_Halfway,Completion_Played_It,Completion_Tried_It,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean,global_user_score_mean,user_score_mean,composite_sentiment_correlation_user_mean,composite_sentiment_correlation_global_mean,composite_sentiment_confidence_mean,composite_sentiment_adaptive_mean
wii play,139.0,41.0,Nintendo,wii,1.0,8.0,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.01,58,34.07,40.22,22.58,2.62,0.5,6.41,2.93,8.97,20.7,11.54,8.61,17.95,3.85,0.92,18.13,31.6,18.13,4.86,28.22,17.19,0.661,0.028,0.138,6.6,6.634,0.269,0.243,0.249,0.326
wii play: motion,29.0,34.0,Good-Feel,wii,1.0,2195.0,2011,Misc,Nintendo,0.24,0.43,0.18,0.09,0.9399999999999998,60,18.87,66.04,12.26,2.83,0.0,3.33,3.33,5.0,20.0,16.67,10.0,15.0,1.67,3.33,21.67,27.87,12.57,17.49,30.05,12.02,0.628,0.031,-0.228,6.6,6.231,0.129,0.094,0.091,0.103
wii sports,546.0,51.0,Nintendo,wii,1.0,1.0,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74000000000001,76,27.47,52.39,16.95,2.75,0.44,4.11,10.32,4.47,14.65,5.19,20.2,11.04,12.19,6.06,11.76,28.25,21.42,5.9,33.83,10.59,0.694,0.09,0.481,8.0,8.5,0.422,0.406,0.42,0.533
wii sports club,136.0,21.0,Nintendo,wii-u,1.0,4854.0,2014,Sports,Nintendo,0.19,0.14,0.04,0.03,0.4,68,22.12,68.27,4.81,3.85,0.96,2.63,18.42,2.63,10.53,5.26,10.53,13.16,13.16,18.42,5.26,17.22,5.56,9.44,42.22,25.56,0.619,0.035,-0.396,7.0,6.548,0.068,0.028,0.063,0.063
wii sports resort,380.0,73.0,Nintendo,wii,1.0,4.0,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,80,23.79,59.57,10.65,5.07,0.92,2.3,11.35,1.06,14.89,2.48,24.29,7.62,20.57,4.79,10.64,25.77,12.69,11.74,36.9,12.91,0.739,0.106,0.467,8.4,8.938,0.437,0.418,0.442,0.55
wild arms 3,53.0,30.0,Contrail,playstation-2,1.0,3245.0,2002,Role-Playing,Ubisoft,0.16,0.13,0.29,0.04,0.6200000000000001,78,6.35,78.58,0.36,13.25,1.45,0.28,26.63,0.28,1.42,0.0,4.25,0.28,29.18,37.11,0.57,31.0,20.69,11.49,19.04,17.78,0.525,0.097,0.049,8.1,7.0,0.216,0.195,0.233,0.26
wild arms 4,28.0,38.0,Media.Vision,playstation-2,1.0,9025.0,2005,Role-Playing,505 Games,0.07,0.06,0.0,0.02,0.15,69,14.93,73.8,2.25,7.89,1.13,0.0,12.7,0.4,2.38,0.4,19.84,0.4,44.44,19.44,0.0,43.13,19.77,7.32,11.3,18.49,0.33,0.215,0.2,7.5,6.6,0.246,0.241,0.267,0.199
wild arms 5,25.0,26.0,Media.Vision,playstation-2,1.0,6191.0,2006,Role-Playing,505 Games,0.14,0.11,0.0,0.04,0.29,71,11.44,77.38,1.09,9.81,0.27,0.0,28.09,0.43,0.0,0.0,4.26,0.0,20.0,46.81,0.43,31.96,25.17,9.99,15.58,17.31,0.96,0.617,1.0,7.7,8.0,0.863,0.858,0.921,0.893
wild arms xf,23.0,22.0,Media.Vision,psp,1.0,9224.0,2007,Role-Playing,505 Games,0.07,0.0,0.06,0.01,0.14,64,3.77,53.3,0.0,39.15,3.77,0.0,12.04,0.93,0.0,0.0,4.63,0.0,37.96,43.52,0.93,17.72,18.78,10.55,29.32,23.63,0.752,0.099,0.264,7.3,9.333,0.366,0.341,0.316,0.431
wild earth: african safari,0.0,7.0,Super X Studios,wii,1.0,9298.0,2008,Simulation,Majesco,0.11,0.02,0.0,0.01,0.14,60,14.29,50.0,0.0,14.29,21.43,9.09,9.09,0.0,9.09,0.0,36.36,18.18,0.0,0.0,18.18,42.11,31.58,5.26,10.53,10.53,0.876,0.049,-0.955,10.0,10.0,-0.045,-0.113,-0.036,-0.076
wildstar,963.0,52.0,Carbine Studios,pc,1.0,8445.0,2014,Role-Playing,NCSoft,0.08,0.07,0.0,0.02,0.17,82,8.64,56.79,7.41,23.46,3.7,5.41,72.97,0.0,2.7,0.0,8.11,0.0,0.0,8.11,2.7,31.25,9.38,11.46,39.58,8.33,0.684,0.08,-0.001,7.6,6.54,0.244,0.213,0.246,0.286
winning eleven: pro evolution soccer 2007,15.0,22.0,KCET,"xbox-360, playstation-2, psp",3.0,7544.4,2006,Sports,Konami Digital Entertainment,0.2,3.12,1.34,0.88,5.54,79,4.24,85.59,4.24,2.54,3.39,4.17,25.0,2.08,1.04,0.0,19.79,1.04,15.63,23.96,7.29,17.58,48.35,3.3,20.33,10.44,0.541,0.13,0.124,8.557,9.286,0.259,0.24,0.257,0.375
wipeout 2048,214.0,63.0,Studio Liverpool,playstation-vita,1.0,4921.0,2012,Racing,Sony,0.14,0.19,0.0,0.06,0.39,79,1.45,23.64,0.36,64.0,10.55,0.0,12.2,1.22,9.76,1.22,20.73,2.44,35.37,9.76,7.32,21.29,3.11,27.51,31.58,16.51,0.72,0.14,0.332,8.2,8.469,0.394,0.372,0.414,0.514
