game_title,user_review_count,critic_review_count,developer,platforms,platform_count,Avg_Rank,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,metascore,Difficulty_Easy,Difficulty_Just_Right,Difficulty_Simple,Difficulty_Tough,Difficulty_Unforgiving,Play Time_<_1_Hour,Play Time_>=_80_Hours,Play Time_~1_Hour,Play Time_~12_Hours,Play Time_~2_Hours,Play Time_~20_Hours,Play Time_~4_Hours,Play Time_~40_Hours,Play Time_~60_Hours,Play Time_~8_Hours,Completion_Beat_It,Completion_Conquered_It,Completion_Halfway,Completion_Played_It,Completion_Tried_It,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean,global_user_score_mean,user_score_mean,composite_sentiment_correlation_user_mean,composite_sentiment_correlation_global_mean,composite_sentiment_confidence_mean,composite_sentiment_adaptive_mean
007: quantum of solace,76.0,69.0,Treyarch,"wii, playstation-3, xbox-360, pc, playstation-2",5.0,5737.83,2008,Action,Activision,1.84,1.35,0.04,0.68,3.91,65,21.09,67.19,1.56,10.16,0.0,0.0,3.23,0.0,29.03,1.08,18.28,5.38,7.53,2.15,33.33,50.0,21.57,3.27,11.76,13.4,0.438,0.082,-0.019,6.669,6.592,0.159,0.14,0.142,0.172
100 classic books,11.0,7.0,Genius Sonority Inc.,ds,1.0,3008.0,2008,Misc,Nintendo,0.13,0.52,0.0,0.02,0.67,70,14.55,16.36,67.27,1.82,0.0,7.41,74.07,0.0,3.7,3.7,7.41,0.0,0.0,3.7,0.0,12.59,8.89,4.44,36.3,37.78,0.531,-0.021,0.332,6.1,9.333,0.281,0.266,0.192,0.301
101-in-1 explosive megamix,4.0,13.0,Nordcurrent,"wii, ds",2.0,7712.0,2008,Puzzle,Nordcurrent,0.05,0.13,0.0,0.02,0.1999999999999999,46,52.63,36.84,5.26,0.0,5.26,0.0,0.0,0.0,18.18,9.09,18.18,27.27,0.0,0.0,27.27,34.15,9.76,7.32,31.71,17.07,-0.081,-0.028,-0.015,3.717,5.667,-0.04,-0.037,-0.026,-0.012
1701 a.d.,26.0,30.0,Related Designs,pc,1.0,5843.0,2006,Simulation,Deep Silver,0.0,0.25,0.0,0.05,0.3,79,3.03,81.82,3.03,9.09,3.03,0.0,33.33,0.0,6.67,0.0,13.33,0.0,20.0,20.0,6.67,25.0,10.71,10.71,42.86,10.71,0.595,0.066,0.001,8.2,6.5,0.212,0.185,0.143,0.094
18 wheeler: american pro trucker,5.0,17.0,Acclaim Studios Cheltenham,"playstation-2, gamecube, dreamcast",3.0,7454.5,2001,Racing,Acclaim Entertainment,0.29,0.1699999999999999,0.0,0.05,0.51,52,18.18,67.53,2.6,11.69,0.0,9.62,3.85,7.69,11.54,13.46,15.38,11.54,3.85,0.0,23.08,33.09,14.71,8.09,22.06,22.06,0.467,0.039,-0.598,4.467,5.667,-0.051,-0.09,-0.045,-0.099
2002 fifa world cup,14.0,19.0,EA Sports,"pc, playstation-2, xbox, gamecube, playstation",5.0,8174.33,2002,Sports,Electronic Arts,0.39,0.22,0.16,0.0699999999999999,0.84,73,53.13,31.25,6.25,3.13,6.25,0.0,19.23,3.85,11.54,0.0,7.69,7.69,11.54,23.08,15.38,32.0,36.0,2.0,16.0,14.0,0.672,0.031,0.002,7.383,7.333,0.225,0.195,0.205,0.253
2010 fifa world cup south africa,52.0,61.0,Electronic Arts,"wii, playstation-3, xbox-360, psp",4.0,3169.5,2010,Sports,Electronic Arts,0.94,1.46,0.13,0.47,3.0,83,20.22,65.17,4.49,10.11,0.0,0.0,15.69,0.0,11.76,7.84,33.33,5.88,13.73,3.92,7.84,31.87,18.13,7.5,26.88,15.63,0.767,0.149,0.425,7.684,8.04,0.445,0.424,0.439,0.522
2014 fifa world cup brazil,119.0,33.0,EA Canada,"playstation-3, xbox-360",2.0,3536.5,2014,Sports,Electronic Arts,0.29,0.67,0.01,0.2,1.1700000000000002,73,8.51,80.85,4.26,6.38,0.0,3.7,7.41,0.0,11.11,3.7,33.33,3.7,25.93,3.7,7.41,27.69,16.92,10.77,36.92,7.69,0.253,-0.06,-0.482,4.954,4.458,-0.11,-0.137,-0.126,-0.135
24: the game,28.0,53.0,SCE Studio Cambridge,playstation-2,1.0,5861.0,2006,Adventure,Sony,0.15,0.12,0.0,0.04,0.31,62,11.63,69.77,0.0,17.44,1.16,0.0,1.82,0.0,34.55,0.0,25.45,5.45,10.91,1.82,20.0,45.0,17.78,3.33,15.56,18.33,0.682,0.131,0.136,7.6,7.364,0.309,0.283,0.342,0.392
25 to life,24.0,23.0,Ritual Entertainment,"pc, playstation-2",2.0,6504.5,2006,Shooter,Eidos Interactive,0.47,0.05,0.0,0.0699999999999999,0.59,39,18.0,60.0,6.0,12.0,4.0,2.78,0.0,0.0,30.56,5.56,2.78,25.0,2.78,5.56,25.0,50.67,18.67,5.33,10.67,14.67,0.46,-0.138,0.001,5.125,4.875,0.102,0.079,0.107,0.22
300: march to glory,29.0,31.0,Collision Studios,psp,1.0,4712.0,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.06,0.41,55,9.26,62.96,7.41,12.96,7.41,0.0,8.57,0.0,20.0,0.0,20.0,5.71,2.86,2.86,40.0,26.47,23.53,2.94,25.49,21.57,-0.596,-0.211,-0.333,6.2,4.0,-0.377,-0.363,-0.372,-0.408
3d dot game heroes,76.0,66.0,Silicon Studio,playstation-3,1.0,3533.0,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.5800000000000001,77,7.61,60.6,0.45,29.7,1.64,0.0,5.54,0.37,11.44,0.74,31.37,0.0,38.75,9.23,2.58,25.76,8.63,18.97,28.78,17.86,0.811,0.046,0.444,8.1,8.0,0.432,0.408,0.433,0.576
4x4 evo 2,0.0,15.0,Terminal Reality,"pc, xbox",2.0,8070.5,2001,Racing,Gathering of Developers,0.29,0.08,0.0,0.01,0.38,59,25.0,50.0,5.0,10.0,10.0,6.25,12.5,6.25,50.0,0.0,6.25,6.25,12.5,0.0,0.0,37.14,14.29,2.86,28.57,17.14,0.931,0.05,0.354,6.2,7.0,0.44,0.408,0.458,0.624
4x4 evolution,19.0,23.0,Terminal Reality,"pc, playstation-2, dreamcast",3.0,5681.0,2001,Racing,Gathering of Developers,0.16,0.12,0.0,0.04,0.32,73,6.25,65.63,0.0,21.88,6.25,0.0,5.56,0.0,22.22,0.0,27.78,0.0,16.67,16.67,11.11,34.69,10.2,8.16,30.61,16.33,0.307,0.187,0.967,6.4,4.5,0.503,0.52,0.586,0.786
50 cent: blood on the sand,55.0,54.0,Swordfish Studios,"playstation-3, xbox-360",2.0,7582.0,2009,Shooter,THQ,0.22,0.13,0.01,0.05,0.41,71,25.86,62.07,3.45,6.9,1.72,0.0,5.0,0.0,32.5,2.5,10.0,10.0,2.5,0.0,37.5,48.8,14.46,5.42,12.65,18.67,0.234,-0.019,-0.005,6.0,6.062,0.067,0.056,0.027,0.016
50 cent: bulletproof,12.0,25.0,High Voltage Software,"playstation-2, xbox, psp",3.0,5538.0,2005,Action,Vivendi Games,1.26,0.86,0.0,0.19,2.31,52,14.86,47.3,4.05,25.68,8.11,0.0,5.88,3.92,29.41,3.92,17.65,17.65,5.88,3.92,11.76,38.73,19.01,8.45,18.31,15.49,0.417,0.054,-0.006,5.5,6.3,0.148,0.13,0.141,0.166
7 days to die,218.0,17.0,Iron Galaxy Studios,"playstation-4, xbox-one, pc",3.0,11766.0,2016,Action,Telltale Games,0.05,0.09,0.0,0.02,0.16,35,7.95,49.01,1.32,35.76,5.96,0.0,67.86,2.38,5.95,0.0,3.57,3.57,7.14,7.14,2.38,25.0,11.11,12.22,41.67,10.0,0.425,-0.062,-0.121,6.192,5.655,0.072,0.048,0.055,0.092
7 wonders of the ancient world,4.0,10.0,Hot Lava Games,"ds, playstation-2, psp",3.0,10552.5,2007,Puzzle,Funsta,0.17,0.01,0.0,0.02,0.2,51,15.0,75.0,5.0,0.0,5.0,0.0,0.0,0.0,29.41,0.0,35.29,11.76,0.0,5.88,17.65,44.0,18.0,6.0,8.0,24.0,0.797,0.085,0.988,6.3,7.5,0.634,0.628,0.63,0.875
7th dragon iii code: vfd,60.0,31.0,Sega,3ds,1.0,8678.0,2015,Role-Playing,Sega,0.03,0.0,0.12,0.0,0.15,76,10.49,65.92,1.5,19.48,2.62,0.0,4.94,0.62,0.0,0.0,11.11,0.62,53.7,28.4,0.62,39.74,18.57,12.7,23.45,5.54,0.741,0.233,0.333,7.9,8.667,0.431,0.41,0.456,0.498
a boy and his blob,35.0,43.0,WayForward,"wii, playstation-4, pc, playstation-vita",4.0,7181.0,2009,Platform,Majesco,0.19,0.02,0.0,0.02,0.2299999999999999,80,12.74,64.33,1.27,20.38,1.27,0.0,1.18,0.0,29.41,0.0,50.59,0.0,8.24,1.18,9.41,23.58,18.87,14.78,23.27,19.5,0.699,0.061,0.627,7.482,7.364,0.466,0.454,0.462,0.609
a new beginning,99.0,20.0,Daedalic Entertainment,pc,1.0,12417.0,2010,Adventure,Deep Silver,0.0,0.05,0.0,0.01,0.06,72,12.96,66.67,1.85,16.67,1.85,2.17,0.0,0.0,54.35,0.0,13.04,8.7,4.35,0.0,17.39,29.07,32.56,8.14,11.63,18.6,0.722,0.069,0.008,6.9,6.65,0.256,0.224,0.261,0.315
a witch's tale,8.0,17.0,Nippon Ichi Software,ds,1.0,10002.0,2009,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.12,50,36.17,51.06,2.13,10.64,0.0,0.0,16.67,0.0,8.33,0.0,16.67,0.0,41.67,16.67,0.0,16.34,15.03,7.19,30.07,31.37,0.869,0.14,0.993,7.0,7.333,0.676,0.668,0.689,0.887
ace attorney investigations: miles edgeworth,114.0,51.0,Capcom,ds,1.0,2716.0,2009,Adventure,Capcom,0.27,0.15,0.3,0.04,0.76,78,10.45,75.0,1.76,12.79,0.0,0.0,1.7,0.0,18.16,0.14,56.6,1.84,12.91,0.99,7.66,26.71,48.0,7.57,8.72,9.0,0.529,0.15,-0.05,7.9,7.16,0.2,0.176,0.209,0.195
ace combat 04: shattered skies,119.0,22.0,Project Aces,playstation-2,1.0,434.0,2001,Simulation,Sony,2.06,0.56,0.38,0.17,3.17,89,9.18,72.71,0.48,16.18,1.45,0.0,7.38,0.67,19.13,1.68,28.19,9.06,16.44,4.03,13.42,38.01,34.97,5.81,10.35,10.86,0.538,0.164,0.354,8.5,8.667,0.351,0.339,0.37,0.429
ace combat 5: the unsung war,130.0,57.0,Project Aces,playstation-2,1.0,1046.0,2004,Simulation,Sony,0.88,0.34,0.32,0.18,1.72,84,4.68,71.43,0.74,20.94,2.22,0.32,6.49,0.65,11.04,0.32,25.32,3.57,35.39,6.17,10.71,39.77,34.47,4.17,9.85,11.74,0.75,0.223,0.52,9.0,9.2,0.497,0.481,0.519,0.595
ace combat 6: fires of liberation,73.0,54.0,Project Aces,xbox-360,1.0,2038.0,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80,6.14,63.54,0.0,27.44,2.89,1.02,5.1,0.51,26.53,1.53,32.65,3.06,13.78,1.02,14.8,42.16,17.49,5.39,14.49,20.48,0.406,0.053,0.039,7.5,6.5,0.16,0.144,0.151,0.219
ace combat x: skies of deception,37.0,26.0,Project Aces,psp,1.0,2090.0,2006,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99,75,7.74,52.98,0.0,22.02,17.26,0.0,28.78,0.0,12.95,2.88,24.46,7.91,14.39,2.88,5.76,41.72,30.18,3.55,10.06,14.5,0.645,0.071,0.046,8.0,8.625,0.245,0.218,0.261,0.315
ace combat zero: the belkan war,58.0,45.0,Project Aces,playstation-2,1.0,3920.0,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,75,6.25,69.53,0.39,21.88,1.95,0.0,7.84,0.0,16.67,0.98,30.39,3.43,21.57,7.35,11.76,39.38,37.32,3.3,10.1,9.9,0.852,0.198,0.316,8.9,9.0,0.449,0.422,0.462,0.557
ace combat: assault horizon,98.0,71.0,Project Aces,"playstation-3, xbox-360",2.0,3392.5,2011,Action,Namco Bandai Games,0.6,0.28,0.25,0.11,1.24,78,10.84,51.72,4.43,28.57,4.43,0.87,4.35,0.0,30.43,2.61,23.48,4.35,8.7,2.61,22.61,40.74,11.78,12.79,23.57,11.11,0.183,0.013,-0.412,6.46,5.529,-0.084,-0.104,-0.101,-0.173
ace combat: assault horizon legacy,32.0,37.0,Project Aces,3ds,1.0,6802.0,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.25,71,15.27,66.41,0.76,15.27,2.29,0.0,8.33,0.0,12.5,2.08,35.42,9.38,9.38,2.08,20.83,54.12,20.0,7.65,14.71,3.53,0.854,0.094,0.32,7.4,9.0,0.417,0.388,0.434,0.587
ace combat: joint assault,23.0,30.0,Project Aces,psp,1.0,6014.0,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,71,8.94,33.33,2.44,36.59,18.7,1.11,23.33,2.22,14.44,1.11,25.56,5.56,18.89,2.22,5.56,38.65,30.43,9.18,8.7,13.04,0.533,-0.013,-0.407,7.2,8.25,0.021,-0.016,0.053,0.109
activision anthology,8.0,13.0,Contraband Entertainment,"playstation-2, game-boy-advance",2.0,8704.5,2002,Misc,Activision,0.28,0.2,0.0,0.06,0.54,75,10.94,67.19,4.69,15.63,1.56,3.45,13.79,3.45,6.9,6.9,10.34,10.34,34.48,6.9,3.45,20.39,7.24,9.21,41.45,21.71,0.938,0.12,1.0,6.2,8.0,0.695,0.683,0.705,0.92
advance wars,157.0,28.0,Intelligent Systems,game-boy-advance,1.0,2925.0,2001,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,92,1.43,30.51,0.0,63.77,4.29,0.2,9.48,0.4,10.69,0.2,26.61,1.61,39.31,7.46,4.03,40.65,17.35,11.46,19.72,10.82,0.519,0.119,0.377,8.7,8.591,0.339,0.328,0.358,0.414
advance wars 2: black hole rising,88.0,34.0,Intelligent Systems,game-boy-advance,1.0,3115.0,2003,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,89,1.34,31.89,0.0,61.77,5.01,0.0,11.73,0.56,9.78,0.0,25.7,0.28,39.39,8.94,3.63,38.03,21.17,13.36,18.21,9.24,0.745,0.142,0.999,8.2,9.833,0.64,0.637,0.667,0.886
advance wars: days of ruin,90.0,55.0,Intelligent Systems,ds,1.0,3219.0,2008,Strategy,Nintendo,0.44,0.13,0.0,0.06,0.6300000000000001,86,1.82,31.01,0.14,62.29,4.75,0.0,13.47,0.52,9.59,0.78,25.39,0.78,38.34,8.55,2.59,32.56,13.2,12.85,25.41,15.99,0.551,0.076,0.371,8.3,8.5,0.333,0.32,0.33,0.426
advance wars: dual strike,141.0,49.0,Intelligent Systems,ds,1.0,4806.0,2005,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.3999999999999999,90,4.86,51.94,0.56,40.69,1.94,0.0,19.81,0.24,9.07,0.0,25.3,0.95,33.89,7.16,3.58,38.6,17.17,11.46,18.85,13.93,0.606,0.158,0.391,8.5,9.308,0.384,0.37,0.387,0.415
advent rising,12.0,50.0,GlyphX Games,"pc, xbox",2.0,9586.0,2005,Action,THQ,0.1,0.03,0.0,0.0,0.13,68,23.4,59.57,2.13,10.64,4.26,0.0,3.33,0.0,36.67,3.33,23.33,0.0,6.67,6.67,20.0,33.81,29.5,3.6,12.23,20.86,0.462,0.041,-0.189,8.1,7.944,0.094,0.067,0.108,0.127
adventure time: finn & jake investigations,17.0,9.0,Vicious Cycle,"playstation-4, xbox-one, wii-u",3.0,11715.83,2015,Action,Little Orbit,0.14,0.26,0.0,0.05,0.45,66,30.95,19.05,42.86,7.14,0.0,0.0,0.0,0.0,37.93,0.0,13.79,10.34,3.45,0.0,34.48,34.04,40.43,0.0,21.28,4.26,0.729,0.119,0.747,6.325,7.375,0.537,0.528,0.544,0.694
adventures to go!,10.0,7.0,Global A,psp,1.0,9653.0,2008,Role-Playing,Zushi Games,0.1,0.0,0.01,0.01,0.12,58,20.97,69.35,6.45,3.23,0.0,0.0,4.17,0.0,4.17,0.0,25.0,0.0,45.83,12.5,8.33,19.18,6.16,16.44,30.14,28.08,0.994,0.154,0.662,7.3,8.0,0.603,0.579,0.622,0.802
aero elite: combat academy,4.0,18.0,Sega AM2,playstation-2,1.0,11826.0,2002,Simulation,Sega,0.04,0.03,0.0,0.01,0.08,64,0.0,22.22,0.0,66.67,11.11,0.0,40.0,0.0,0.0,0.0,10.0,10.0,20.0,10.0,10.0,45.71,11.43,8.57,20.0,14.29,0.92,0.074,-0.001,7.8,7.5,0.317,0.276,0.337,0.412
afro samurai,45.0,70.0,Namco Bandai Games,"playstation-3, xbox-360",2.0,7272.5,2009,Action,Atari,0.28,0.1,0.0,0.05,0.43,65,13.45,35.29,1.68,47.06,2.52,1.75,0.0,0.0,28.07,3.51,26.32,8.77,7.02,1.75,22.81,25.0,7.03,11.2,23.44,33.33,0.199,0.025,0.269,5.926,6.632,0.168,0.167,0.185,0.224
agatha christie: and then there were none,15.0,28.0,AWE Games,pc,1.0,11604.0,2008,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.0799999999999999,68,23.33,56.67,3.33,16.67,0.0,0.0,0.0,0.0,11.54,0.0,30.77,15.38,15.38,0.0,26.92,34.48,29.31,8.62,3.45,24.14,-0.572,0.012,-0.988,7.3,5.0,-0.53,-0.533,-0.507,-0.829
agatha christie: the abc murders,43.0,17.0,Artefacts Studio,"playstation-4, xbox-one",2.0,12959.5,2009,Adventure,JoWood Productions,0.08,0.03,0.0,0.01,0.12,67,27.5,50.0,0.0,20.0,2.5,0.0,0.0,0.0,27.03,0.0,27.03,2.7,2.7,0.0,40.54,59.09,31.82,2.27,2.27,4.55,0.519,0.052,0.029,6.28,6.6,0.193,0.171,0.194,0.215
age of conan: rise of the godslayer,43.0,14.0,Funcom,pc,1.0,14656.0,2010,Role-Playing,Funcom,0.0,0.02,0.0,0.0,0.02,83,7.32,56.1,7.32,24.39,4.88,6.67,60.0,0.0,0.0,6.67,6.67,0.0,13.33,6.67,0.0,5.2,4.46,3.72,45.35,41.26,0.594,0.045,0.155,8.0,6.4,0.26,0.238,0.227,0.319
age of empires iii,713.0,52.0,Ensemble Studios,pc,1.0,4928.0,2005,Strategy,Microsoft,0.0,0.32,0.0,0.07,0.39,81,8.82,76.92,0.45,12.9,0.9,1.17,22.27,0.39,10.16,0.78,16.02,2.34,34.38,8.59,3.91,34.44,20.25,7.09,24.26,13.96,0.6,0.12,0.243,7.9,8.021,0.317,0.298,0.319,0.387
age of empires iii: the asian dynasties,98.0,19.0,Big Huge Games,pc,1.0,12179.0,2007,Strategy,Microsoft,0.0,0.05,0.0,0.01,0.06,81,8.82,76.92,0.45,12.9,0.9,1.17,22.27,0.39,10.16,0.78,16.02,2.34,34.38,8.59,3.91,34.44,20.25,7.09,24.26,13.96,0.755,0.073,0.472,8.3,8.857,0.433,0.413,0.43,0.616
age of empires online,190.0,44.0,Gas Powered Games,pc,1.0,12362.0,2011,Strategy,Microsoft,0.01,0.04,0.0,0.01,0.06,70,17.5,53.75,1.25,22.5,5.0,6.25,50.0,0.0,0.0,6.25,6.25,0.0,18.75,12.5,0.0,7.75,6.2,18.6,44.96,22.48,0.493,0.005,-0.565,5.7,4.146,-0.042,-0.082,-0.05,-0.079
age of empires: mythologies,47.0,28.0,Griptonite Games,ds,1.0,7231.0,2008,Strategy,THQ,0.17,0.03,0.0,0.02,0.22,78,9.09,33.33,1.52,48.48,7.58,0.0,6.67,3.33,13.33,3.33,16.67,3.33,43.33,3.33,6.67,17.55,10.64,11.17,35.64,25.0,0.407,0.021,0.093,7.8,5.333,0.17,0.154,0.166,0.202
age of empires: the age of kings,54.0,38.0,Backbone Entertainment,ds,1.0,7030.0,2006,Strategy,THQ,0.19,0.02,0.0,0.02,0.2299999999999999,80,10.0,54.17,0.83,34.17,0.83,1.72,15.52,0.0,5.17,3.45,18.97,5.17,25.86,17.24,6.9,20.45,13.74,9.58,31.63,24.6,0.765,0.167,0.992,8.2,10.0,0.652,0.648,0.659,0.83
age of mythology,838.0,31.0,Ensemble Studios,pc,1.0,11149.0,2002,Strategy,Microsoft,0.02,0.06,0.0,0.01,0.09,89,7.28,76.06,0.7,15.02,0.94,0.36,20.58,0.36,10.47,0.0,15.52,1.44,34.66,13.72,2.89,40.33,27.9,6.49,16.02,9.25,0.651,0.184,0.497,8.9,9.0,0.445,0.432,0.465,0.561
age of mythology: the titans,194.0,25.0,Ensemble Studios,pc,1.0,14003.0,2003,Strategy,Microsoft,0.01,0.02,0.0,0.0,0.03,84,7.28,76.06,0.7,15.02,0.94,0.36,20.58,0.36,10.47,0.0,15.52,1.44,34.66,13.72,2.89,40.33,27.9,6.49,16.02,9.25,0.782,0.131,0.34,8.9,8.476,0.413,0.389,0.422,0.544
aggressive inline,13.0,31.0,Ltd.,"playstation-2, gamecube",2.0,10114.33,2002,Sports,Acclaim Entertainment,0.26,0.15,0.0,0.04,0.45,85,12.07,62.07,1.72,22.41,1.72,0.0,2.7,0.0,18.92,2.7,37.84,2.7,21.62,8.11,5.41,35.92,19.42,8.74,18.45,17.48,0.898,0.125,0.069,7.025,8.25,0.352,0.314,0.383,0.439
aidyn chronicles: the first mage,18.0,7.0,H2O Interactive,nintendo-64,1.0,10634.0,2001,Role-Playing,THQ,0.08,0.02,0.0,0.0,0.1,53,0.83,25.0,0.83,57.5,15.83,0.0,34.48,0.0,0.0,0.0,5.17,3.45,22.41,31.03,3.45,22.27,11.85,6.16,35.55,24.17,0.392,0.049,0.012,7.3,6.3,0.145,0.128,0.144,0.199
air conflicts: secret wars,0.0,14.0,Games Farm,"playstation-3, xbox-360, pc, nintendo-switch",4.0,11289.33,2011,Simulation,bitComposer Games,0.16,0.1,0.0,0.05,0.31,61,31.25,37.5,0.0,25.0,6.25,0.0,0.0,8.33,25.0,0.0,16.67,8.33,33.33,0.0,8.33,37.5,16.67,4.17,29.17,12.5,0.44,-0.042,-0.298,6.582,5.588,0.021,-0.009,-0.017,-0.012
airblade,9.0,18.0,Criterion Games,playstation-2,1.0,7056.0,2001,Sports,Sony,0.11,0.09,0.0,0.03,0.23,70,11.76,52.94,1.96,23.53,9.8,0.0,5.88,0.0,23.53,2.94,29.41,14.71,2.94,5.88,14.71,27.03,15.32,5.41,19.82,32.43,0.881,0.065,0.005,7.3,8.5,0.304,0.265,0.319,0.417
airforce delta storm,0.0,21.0,KCE Studios,xbox,1.0,11528.5,2001,Shooter,Konami Digital Entertainment,0.16,0.05,0.0,0.01,0.22,61,4.35,34.78,0.0,43.48,17.39,0.0,5.88,0.0,17.65,0.0,35.29,5.88,23.53,11.76,0.0,27.5,30.0,5.0,20.0,17.5,0.37,-0.035,-0.985,6.0,6.0,-0.244,-0.291,-0.374,-0.6
alan wake,1294.0,100.0,Remedy Entertainment,"xbox-360, pc",2.0,6777.0,2010,Action,Microsoft,0.66,0.5700000000000001,0.05,0.14,1.42,83,9.88,68.92,1.46,18.81,0.94,0.43,1.72,0.0,36.49,0.0,39.22,0.86,7.33,1.44,12.5,54.13,13.92,6.66,13.37,11.94,0.371,0.099,0.278,8.155,7.528,0.25,0.242,0.263,0.307
alice: madness returns,298.0,67.0,Spicy Horse,"playstation-3, xbox-360, pc",3.0,5699.0,2011,Adventure,Electronic Arts,0.49,0.5,0.08,0.15,1.22,70,14.26,71.3,0.71,13.37,0.36,0.0,0.87,0.0,21.39,0.0,54.34,0.29,14.74,2.02,6.36,32.56,22.87,11.38,18.34,14.86,0.543,0.061,0.358,8.167,7.756,0.321,0.307,0.325,0.423
alien hominid,21.0,47.0,The Behemoth,"xbox-360, playstation-2, gamecube",3.0,10771.0,2004,Shooter,Zoo,0.12,0.06,0.0,0.01,0.19,78,0.87,20.87,0.0,60.87,17.39,0.0,1.72,1.72,15.52,10.34,8.62,27.59,1.72,1.72,31.03,25.91,10.31,8.08,24.79,30.92,0.675,0.022,-0.342,7.371,7.286,0.101,0.06,0.115,0.145
alien: isolation,1651.0,50.0,Creative Assembly,"playstation-4, xbox-one, pc, nintendo-switch",4.0,5138.2,2014,Shooter,Sega,0.8300000000000001,1.25,0.04,0.34,2.46,79,0.74,17.81,0.74,70.5,10.2,0.63,2.83,0.31,9.75,0.31,59.12,1.26,21.07,1.89,2.83,40.53,15.71,14.1,23.49,6.17,0.308,0.048,0.41,8.266,8.523,0.26,0.258,0.267,0.358
aliens in the attic,0.0,7.0,Engine Software,"ds, playstation-2",2.0,12301.0,2009,Action,Playlogic Game Factory,0.12,0.0,0.0,0.01,0.13,58,13.33,40.0,0.0,26.67,20.0,0.0,0.0,0.0,38.46,0.0,23.08,23.08,0.0,0.0,15.38,68.42,10.53,0.0,21.05,0.0,0.451,-0.216,-0.108,3.5,3.5,0.035,0.008,-0.092,0.021
aliens versus predator: extinction,17.0,19.0,Zono Inc.,"playstation-2, xbox",2.0,9579.0,2003,Strategy,Electronic Arts,0.15,0.09,0.0,0.02,0.26,64,4.17,27.08,0.0,47.92,20.83,0.0,0.0,0.0,7.41,0.0,29.63,7.41,33.33,11.11,11.11,26.09,21.74,6.96,24.35,20.87,0.107,-0.148,0.332,7.367,7.333,0.105,0.107,0.179,0.224
aliens: colonial marines,487.0,47.0,Gearbox Software,"playstation-3, xbox-360, pc",3.0,4610.33,2013,Shooter,Sega,0.66,0.74,0.0,0.22,1.62,48,24.67,47.33,8.67,16.67,2.67,2.0,0.0,0.0,33.0,3.0,8.0,13.0,5.0,1.0,35.0,48.66,12.95,10.27,16.52,11.61,0.159,-0.107,-0.589,3.701,4.691,-0.194,-0.22,-0.221,-0.257
aliens: infestation,40.0,43.0,Gearbox Software,ds,1.0,8131.0,2011,Action,Sega,0.1,0.06,0.0,0.02,0.18,76,11.24,59.76,0.59,25.44,2.96,0.0,0.0,0.0,23.53,0.84,12.61,21.01,3.36,0.84,37.82,33.92,25.99,9.69,20.7,9.69,0.676,0.105,0.196,8.1,7.857,0.32,0.296,0.319,0.353
all-pro football 2k8,6.0,23.0,Visual Concepts,"playstation-3, xbox-360",2.0,7592.5,2007,Sports,Take-Two Interactive,0.38,0.0,0.0,0.03,0.41,73,8.33,69.44,8.33,13.89,0.0,13.33,6.67,6.67,20.0,0.0,13.33,6.67,33.33,0.0,0.0,19.23,6.92,3.85,33.08,36.92,0.593,0.093,0.317,6.811,8.222,0.332,0.316,0.333,0.418
all-star baseball 2002,6.0,17.0,Acclaim Studios Austin,"playstation-2, gamecube",2.0,5417.0,2001,Sports,Acclaim Entertainment,0.44,0.25,0.0,0.08,0.77,66,25.0,75.0,0.0,0.0,0.0,5.26,21.05,0.0,5.26,0.0,10.53,0.0,10.53,47.37,0.0,25.49,9.8,5.88,29.41,29.41,0.794,-0.412,-0.005,8.0,6.5,0.118,0.074,0.175,0.259
alone in the dark,305.0,77.0,Pieces Interactive,"pc, playstation-5, xbox-series-x",3.0,10229.0,2008,Adventure,Atari,0.26,0.41,0.0,0.08,0.7499999999999999,63,6.25,81.25,0.0,12.5,0.0,0.0,0.0,0.0,25.0,0.0,31.25,6.25,0.0,0.0,37.5,47.37,42.11,0.0,5.26,5.26,0.235,0.044,0.128,7.058,7.141,0.135,0.128,0.128,0.156
alone in the dark: the new nightmare,64.0,16.0,Spiral House,"pc, playstation, dreamcast",3.0,8555.0,2001,Adventure,Infogrames,0.09,0.06,0.0,0.01,0.16,66,5.33,39.64,0.0,49.11,5.92,0.0,5.43,1.09,26.09,1.09,33.7,4.35,16.3,0.0,11.96,30.74,19.26,10.81,21.62,17.57,0.489,0.082,0.214,8.071,7.81,0.259,0.244,0.258,0.352
