platform,game_title,user_positive_count,user_positive_percent,user_mixed_count,user_mixed_percent,user_negative_count,user_negative_percent,critic_positive_count,critic_positive_percent,critic_mixed_count,critic_mixed_percent,critic_negative_count,critic_negative_percent
playstation-2,singstar '80s,3,-50%,3,-50%,0,0%,16,-73%,6,-27%,0,0%
wii,battalion wars 2,28,-70%,10,-25%,2,-5%,26,-68%,12,-32%,0,0%
xbox,blood wake,4,-40%,6,-60%,0,0%,17,-57%,13,-43%,0,0%
playstation-2,yu yu hakusho: dark tournament,3,-43%,1,-14%,3,-43%,1,-7%,11,-73%,3,-20%
playstation-3,inversion,20,-41%,11,-22%,18,-37%,1,-4%,16,-70%,6,-26%
xbox-360,inversion,34,-40%,33,-39%,17,-20%,2,-4%,37,-73%,12,-24%
pc,inversion,57,-43%,55,-41%,22,-16%,0,0%,5,-83%,1,-17%
ds,bleach: the blade of fate,11,-52%,5,-24%,5,-24%,28,-88%,4,-13%,0,0%
playstation-2,shin megami tensei: digital devil saga 2,103,-87%,6,-5%,9,-8%,33,-87%,5,-13%,0,0%
3ds,shin megami tensei: devil survivor overclocked,169,-82%,14,-7%,24,-12%,19,-70%,7,-26%,1,-4%
playstation-2,we love katamari,51,-82%,10,-16%,1,-2%,60,-98%,1,-2%,0,0%
playstation-3,wanted: weapons of fate,12,-43%,13,-46%,3,-11%,9,-16%,41,-73%,6,-11%
xbox-360,wanted: weapons of fate,9,-32%,17,-61%,2,-7%,11,-18%,45,-74%,5,-8%
pc,wanted: weapons of fate,19,-37%,30,-58%,3,-6%,2,-8%,20,-83%,2,-8%
playstation-3,mass effect 3,1.1k,-53%,217,-11%,739,-37%,30,-100%,0,0%,0,0%
xbox-360,mass effect 3,2.3k,-55%,540,-13%,1.4k,-32%,74,-100%,0,0%,0,0%
pc,mass effect 3,3.7k,-51%,1.1k,-16%,2.4k,-33%,23,-100%,0,0%,0,0%
wii-u,mass effect 3,162,-70%,26,-11%,43,-19%,32,-97%,1,-3%,0,0%
pc,freelancer,209,-87%,22,-9%,8,-3%,34,-87%,5,-13%,0,0%
gamecube,cubivore: survival of the fittest,11,-69%,3,-19%,2,-13%,5,-42%,7,-58%,0,0%
playstation-3,borderlands 2,845,-79%,137,-13%,86,-8%,25,-100%,0,0%,0,0%
xbox-360,borderlands 2,1.1k,-79%,203,-14%,96,-7%,58,-98%,1,-2%,0,0%
pc,borderlands 2,2.8k,-77%,552,-15%,291,-8%,37,-97%,1,-3%,0,0%
playstation-vita,borderlands 2,267,-71%,55,-15%,53,-14%,7,-23%,21,-68%,3,-10%
playstation-3,motogp 14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-4,motogp 14,16,-46%,9,-26%,10,-29%,16,-57%,12,-43%,0,0%
pc,motogp 14,3,-13%,2,-9%,18,-78%,3,-60%,2,-40%,0,0%
playstation-vita,motogp 14,4,-80%,0,0%,1,-20%,N/A,N/A,N/A,N/A,N/A,N/A
playstation-3,soldier of fortune: payback,2,-25%,4,-50%,2,-25%,0,0%,9,-64%,5,-36%
xbox-360,soldier of fortune: payback,2,-15%,2,-15%,9,-69%,0,0%,25,-71%,10,-29%
pc,soldier of fortune: payback,6,-19%,9,-29%,16,-52%,0,0%,6,-46%,7,-54%
playstation-2,wild arms 5,18,-72%,3,-12%,4,-16%,12,-46%,14,-54%,0,0%
wii,cooking mama: cook off,6,-50%,5,-42%,1,-8%,8,-22%,24,-65%,5,-14%
wii-u,your shape: fitness evolved 2013,11,-55%,5,-25%,4,-20%,5,-63%,3,-38%,0,0%
playstation-4,samurai warriors 4-ii,29,-69%,3,-7%,10,-24%,12,-46%,14,-54%,0,0%
pc,samurai warriors 4-ii,9,-56%,3,-19%,4,-25%,N/A,N/A,N/A,N/A,N/A,N/A
playstation-2,time crisis 3,10,-56%,8,-44%,0,0%,25,-86%,4,-14%,0,0%
wii,jenga world tour,1,-25%,0,0%,3,-75%,0,0%,0,0%,14,-100%
ds,jenga world tour,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,1,-14%,6,-86%
playstation-3,dirt showdown,21,-45%,17,-36%,9,-19%,17,-63%,10,-37%,0,0%
xbox-360,dirt showdown,35,-50%,17,-24%,18,-26%,34,-64%,18,-34%,1,-2%
pc,dirt showdown,73,-35%,72,-34%,65,-31%,6,-55%,4,-36%,1,-9%
xbox-360,race pro,7,-50%,6,-43%,1,-7%,29,-54%,24,-44%,1,-2%
playstation-2,fifa street,29,-69%,11,-26%,2,-5%,2,-7%,23,-79%,4,-14%
xbox,fifa street,5,-83%,1,-17%,0,0%,2,-10%,15,-71%,4,-19%
playstation-4,call of duty: advanced warfare,732,-41%,503,-28%,542,-31%,35,-90%,4,-10%,0,0%
xbox-one,call of duty: advanced warfare,472,-41%,294,-26%,376,-33%,45,-85%,8,-15%,0,0%
pc,call of duty: advanced warfare,415,-31%,318,-24%,605,-45%,15,-83%,2,-11%,1,-6%
playstation-3,r.u.s.e.,35,-67%,12,-23%,5,-10%,26,-70%,11,-30%,0,0%
xbox-360,r.u.s.e.,25,-61%,13,-32%,3,-7%,33,-73%,12,-27%,0,0%
pc,r.u.s.e.,146,-71%,42,-20%,17,-8%,21,-64%,12,-36%,0,0%
gamecube,mario party 5,70,-64%,30,-27%,10,-9%,15,-45%,15,-45%,3,-9%
playstation-3,mx vs. atv reflex,5,-50%,3,-30%,2,-20%,25,-57%,18,-41%,1,-2%
xbox-360,mx vs. atv reflex,14,-54%,5,-19%,7,-27%,34,-72%,13,-28%,0,0%
psp,mx vs. atv reflex,1,-25%,2,-50%,1,-25%,N/A,N/A,N/A,N/A,N/A,N/A
playstation-3,sly cooper: thieves in time,379,-76%,90,-18%,29,-6%,43,-62%,26,-38%,0,0%
playstation-vita,sly cooper: thieves in time,129,-73%,35,-20%,13,-7%,9,-60%,6,-40%,0,0%
playstation-3,mindjack,5,-9%,4,-7%,45,-83%,1,-3%,11,-35%,19,-61%
xbox-360,mindjack,9,-7%,5,-4%,108,-89%,0,0%,16,-38%,26,-62%
ds,naruto: ninja destiny,1,-14%,2,-29%,4,-57%,4,-18%,15,-68%,3,-14%
playstation-3,nhl 2k8,N/A,N/A,N/A,N/A,N/A,N/A,14,-58%,9,-38%,1,-4%
xbox-360,nhl 2k8,N/A,N/A,N/A,N/A,N/A,N/A,26,-60%,15,-35%,2,-5%
playstation-2,nhl 2k8,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,4,-100%,0,0%
gamecube,battalion wars,12,-63%,6,-32%,1,-5%,28,-65%,14,-33%,1,-2%
3ds,project x zone,96,-62%,37,-24%,23,-15%,22,-42%,29,-55%,2,-4%
wii,mario strikers charged,103,-73%,35,-25%,3,-2%,34,-72%,13,-28%,0,0%
xbox-360,state of decay,427,-66%,110,-17%,113,-17%,37,-71%,15,-29%,0,0%
pc,state of decay,347,-54%,181,-28%,109,-17%,6,-67%,3,-33%,0,0%
playstation-2,espn nfl football,5,-83%,1,-17%,0,0%,20,-100%,0,0%,0,0%
xbox,espn nfl football,2,-13%,2,-13%,11,-73%,25,-100%,0,0%,0,0%
pc,dead man's hand,3,-33%,4,-44%,2,-22%,3,-20%,10,-67%,2,-13%
xbox,dead man's hand,2,-40%,1,-20%,2,-40%,6,-19%,21,-68%,4,-13%
gamecube,eternal darkness: sanity's requiem,205,-86%,23,-10%,11,-5%,40,-98%,1,-2%,0,0%
3ds,blazblue: continuum shift ii,14,-58%,5,-21%,5,-21%,3,-21%,9,-64%,2,-14%
psp,blazblue: continuum shift ii,9,-60%,3,-20%,3,-20%,4,-50%,4,-50%,0,0%
xbox-360,tropico 5,6,-46%,4,-31%,3,-23%,1,-25%,3,-75%,0,0%
playstation-4,tropico 5,81,-49%,65,-39%,19,-12%,12,-71%,5,-29%,0,0%
pc,tropico 5,227,-50%,145,-32%,78,-17%,31,-61%,19,-37%,1,-2%
wii-u,kirby and the rainbow curse,198,-74%,40,-15%,30,-11%,42,-58%,26,-36%,4,-6%
gamecube,wwe day of reckoning 2,14,-67%,5,-24%,2,-10%,26,-72%,9,-25%,1,-3%
playstation-2,fifa street 2,35,-67%,15,-29%,2,-4%,5,-19%,18,-67%,4,-15%
xbox,fifa street 2,16,-73%,6,-27%,0,0%,7,-23%,20,-67%,3,-10%
psp,fifa street 2,4,-40%,5,-50%,1,-10%,0,0%,5,-83%,1,-17%
gamecube,fifa street 2,3,-60%,2,-40%,0,0%,4,-25%,9,-56%,3,-19%
playstation-3,hot shots golf: world invitational,7,-78%,2,-22%,0,0%,N/A,N/A,N/A,N/A,N/A,N/A
playstation-vita,hot shots golf: world invitational,66,-79%,12,-14%,6,-7%,34,-62%,21,-38%,0,0%
pc,botanicula,319,-78%,74,-18%,17,-4%,32,-84%,6,-16%,0,0%
pc,commandos 3: destination berlin,50,-53%,41,-43%,4,-4%,15,-63%,7,-29%,2,-8%
gamecube,mario party 7,67,-66%,28,-27%,7,-7%,5,-20%,18,-72%,2,-8%
wii,ben 10 alien force: vilgax attacks,3,-60%,1,-20%,1,-20%,1,-20%,3,-60%,1,-20%
xbox-360,ben 10 alien force: vilgax attacks,20,-71%,5,-18%,3,-11%,1,-11%,6,-67%,2,-22%
ds,ben 10 alien force: vilgax attacks,0,0%,1,-25%,3,-75%,N/A,N/A,N/A,N/A,N/A,N/A
playstation-2,ben 10 alien force: vilgax attacks,15,-83%,3,-17%,0,0%,N/A,N/A,N/A,N/A,N/A,N/A
psp,ben 10 alien force: vilgax attacks,6,-67%,3,-33%,0,0%,N/A,N/A,N/A,N/A,N/A,N/A
xbox-one,ryse: son of rome,930,-50%,478,-26%,461,-25%,8,-10%,60,-78%,9,-12%
pc,ryse: son of rome,362,-45%,313,-39%,134,-17%,3,-11%,22,-81%,2,-7%
playstation-3,warriors: legends of troy,16,-55%,8,-28%,5,-17%,0,0%,10,-45%,12,-55%
xbox-360,warriors: legends of troy,4,-40%,4,-40%,2,-20%,0,0%,8,-73%,3,-27%
xbox,bloody roar: primal fury,3,-60%,0,0%,2,-40%,2,-9%,17,-77%,3,-14%
gamecube,bloody roar: primal fury,16,-76%,5,-24%,0,0%,17,-63%,10,-37%,0,0%
xbox,breakdown,18,-78%,1,-4%,4,-17%,35,-56%,23,-37%,4,-6%
game-boy-advance,shining soul ii,6,-67%,2,-22%,1,-11%,11,-61%,7,-39%,0,0%
playstation-2,dynasty tactics 2,7,-50%,5,-36%,2,-14%,13,-72%,5,-28%,0,0%
playstation-2,rumble racing,9,-64%,4,-29%,1,-7%,14,-82%,3,-18%,0,0%
playstation-3,red dead redemption,3.4k,-91%,215,-6%,120,-3%,73,-100%,0,0%,0,0%
xbox-360,red dead redemption,3.2k,-90%,220,-6%,131,-4%,96,-100%,0,0%,0,0%
playstation-2,fullmetal alchemist and the broken angel,8,-50%,3,-19%,5,-31%,4,-11%,23,-66%,8,-23%
wii,pinball hall of fame: the gottlieb collection,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
psp,pinball hall of fame: the gottlieb collection,1,-25%,1,-25%,2,-50%,13,-48%,13,-48%,1,-4%
xbox-360,forza horizon,607,-86%,57,-8%,38,-5%,75,-90%,8,-10%,0,0%
playstation-4,summon night 6: lost borders,13,-65%,3,-15%,4,-20%,4,-44%,5,-56%,0,0%
playstation-vita,summon night 6: lost borders,6,-75%,2,-25%,0,0%,N/A,N/A,N/A,N/A,N/A,N/A
playstation-2,top spin,2,-40%,3,-60%,0,0%,6,-21%,20,-71%,2,-7%
xbox,top spin,11,-61%,4,-22%,3,-17%,43,-98%,1,-2%,0,0%
pc,sonic heroes,60,-57%,27,-26%,18,-17%,3,-43%,3,-43%,1,-14%
playstation-2,sonic heroes,92,-54%,57,-34%,21,-12%,4,-14%,21,-72%,4,-14%
xbox,sonic heroes,41,-68%,15,-25%,4,-7%,12,-43%,16,-57%,0,0%
gamecube,sonic heroes,223,-64%,102,-29%,26,-7%,25,-51%,23,-47%,1,-2%
wii-u,tork: prehistoric punk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-2,stuntman,10,-31%,12,-38%,10,-31%,19,-51%,14,-38%,4,-11%
game-boy-advance,stuntman,2,-50%,1,-25%,1,-25%,6,-75%,2,-25%,0,0%
ds,etrian odyssey,23,-74%,6,-19%,2,-6%,16,-53%,14,-47%,0,0%
playstation-2,futurama,10,-45%,7,-32%,5,-23%,3,-14%,15,-68%,4,-18%
xbox,futurama,2,-40%,3,-60%,0,0%,2,-10%,15,-71%,4,-19%
wii,fifa soccer 10,4,-33%,5,-42%,3,-25%,10,-48%,11,-52%,0,0%
playstation-3,fifa soccer 10,94,-67%,29,-21%,18,-13%,56,-100%,0,0%,0,0%
xbox-360,fifa soccer 10,87,-65%,35,-26%,12,-9%,62,-98%,1,-2%,0,0%
pc,fifa soccer 10,17,-31%,23,-43%,14,-26%,5,-36%,9,-64%,0,0%
ds,fifa soccer 10,2,-40%,2,-40%,1,-20%,N/A,N/A,N/A,N/A,N/A,N/A
playstation-2,fifa soccer 10,4,-67%,1,-17%,1,-17%,N/A,N/A,N/A,N/A,N/A,N/A
psp,fifa soccer 10,3,-50%,2,-33%,1,-17%,9,-100%,0,0%,0,0%
playstation-2,armored core 2: another age,10,-83%,0,0%,2,-17%,10,-63%,6,-38%,0,0%
playstation-3,star ocean: the last hope,87,-76%,15,-13%,13,-11%,29,-64%,15,-33%,1,-2%
xbox-360,star ocean: the last hope,43,-51%,23,-27%,18,-21%,33,-59%,23,-41%,0,0%
playstation-3,ea sports mma,29,-57%,11,-22%,11,-22%,34,-72%,13,-28%,0,0%
xbox-360,ea sports mma,39,-71%,11,-20%,5,-9%,48,-76%,15,-24%,0,0%
ds,super robot taisen og saga: endless frontier,14,-78%,1,-6%,3,-17%,12,-55%,9,-41%,1,-5%
wii,mario power tennis,19,-51%,15,-41%,3,-8%,10,-29%,21,-62%,3,-9%
gamecube,mario power tennis,58,-75%,18,-23%,1,-1%,37,-86%,6,-14%,0,0%
wii-u,animal crossing: amiibo festival,73,-27%,32,-12%,161,-61%,2,-10%,10,-50%,8,-40%
playstation-3,2014 fifa world cup brazil,43,-36%,30,-25%,46,-39%,17,-52%,16,-48%,0,0%
xbox-360,2014 fifa world cup brazil,31,-31%,23,-23%,46,-46%,16,-55%,13,-45%,0,0%
xbox-360,alan wake,1.0k,-79%,213,-16%,61,-5%,87,-87%,13,-13%,0,0%
pc,alan wake,1.6k,-71%,476,-22%,155,-7%,27,-90%,3,-10%,0,0%
pc,still life,66,-66%,27,-27%,7,-7%,16,-59%,9,-33%,2,-7%
wii-u,still life,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wii,we ski,2,-40%,0,0%,3,-60%,6,-19%,24,-75%,2,-6%
psp,god of war: ghost of sparta,819,-89%,73,-8%,27,-3%,67,-92%,6,-8%,0,0%
playstation-3,hatsune miku: project diva f,89,-75%,18,-15%,12,-10%,5,-50%,4,-40%,1,-10%
playstation-vita,hatsune miku: project diva f,77,-76%,13,-13%,11,-11%,7,-70%,3,-30%,0,0%
wii,the legend of spyro: the eternal night,13,-57%,3,-13%,7,-30%,2,-25%,5,-63%,1,-13%
playstation-2,the legend of spyro: the eternal night,26,-39%,21,-32%,19,-29%,2,-11%,11,-61%,5,-28%
psp,wipeout pulse,33,-85%,4,-10%,2,-5%,36,-90%,4,-10%,0,0%
playstation-2,armored core: last raven,17,-81%,1,-5%,3,-14%,3,-19%,10,-63%,3,-19%
playstation-2,james bond 007: agent under fire,28,-53%,21,-40%,4,-8%,9,-33%,17,-63%,1,-4%
xbox,james bond 007: agent under fire,5,-45%,4,-36%,2,-18%,9,-56%,6,-38%,1,-6%
gamecube,james bond 007: agent under fire,10,-37%,12,-44%,5,-19%,6,-38%,10,-63%,0,0%
playstation-2,gradius v,26,-90%,2,-7%,1,-3%,35,-76%,11,-24%,0,0%
3ds,asphalt 3d,12,-31%,9,-23%,18,-46%,2,-5%,13,-35%,22,-59%
psp,naruto shippuden: ultimate ninja impact,41,-66%,12,-19%,9,-15%,2,-13%,12,-75%,2,-13%
playstation-3,battlefield 3,1.4k,-72%,241,-13%,288,-15%,35,-92%,3,-8%,0,0%
xbox-360,battlefield 3,1.6k,-71%,309,-14%,332,-15%,53,-93%,4,-7%,0,0%
pc,battlefield 3,4.2k,-70%,963,-16%,777,-13%,60,-98%,1,-2%,0,0%
pc,resident evil 4 hd,737,-85%,76,-9%,54,-6%,25,-76%,8,-24%,0,0%
3ds,resident evil 4 hd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pc,black & white 2,51,-49%,44,-42%,10,-10%,30,-60%,18,-36%,2,-4%
playstation-5,animaniacs: the great edgar hunt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wii-u,animaniacs: the great edgar hunt,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
game-boy-advance,advance wars,141,-90%,11,-7%,5,-3%,27,-96%,1,-4%,0,0%
ds,crosswords,1,-25%,2,-50%,1,-25%,6,-32%,11,-58%,2,-11%
xbox-360,crimson tears,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-2,wwe smackdown! vs. raw,47,-72%,18,-28%,0,0%,38,-83%,8,-17%,0,0%
pc,spore galactic adventures,42,-57%,18,-24%,14,-19%,12,-38%,18,-56%,2,-6%
playstation-2,metal slug 4 & 5,6,-55%,5,-45%,0,0%,11,-55%,8,-40%,1,-5%
xbox,metal slug 4 & 5,9,-100%,0,0%,0,0%,10,-45%,10,-45%,2,-9%
psp,namco museum battle collection,14,-93%,1,-7%,0,0%,22,-79%,5,-18%,1,-4%
playstation-2,yakuza 2,90,-89%,9,-9%,2,-2%,25,-74%,9,-26%,0,0%
playstation-2,primal,45,-83%,7,-13%,2,-4%,22,-61%,12,-33%,2,-6%
playstation-2,whirl tour,4,-80%,1,-20%,0,0%,1,-11%,6,-67%,2,-22%
gamecube,whirl tour,3,-75%,0,0%,1,-25%,2,-20%,6,-60%,2,-20%
pc,act of aggression,56,-57%,22,-22%,20,-20%,16,-43%,19,-51%,2,-5%
nintendo-switch,rune factory 4,69,-79%,9,-10%,9,-10%,29,-91%,3,-9%,0,0%
3ds,rune factory 4,128,-79%,16,-10%,19,-12%,25,-76%,8,-24%,0,0%
xbox-360,lips: number one hits,4,-67%,1,-17%,1,-17%,7,-32%,15,-68%,0,0%
playstation-2,jak and daxter: the precursor legacy,560,-87%,63,-10%,22,-3%,35,-100%,0,0%,0,0%
playstation-2,champions: return to arms,29,-74%,4,-10%,6,-15%,34,-71%,14,-29%,0,0%
pc,stronghold 3,53,-14%,43,-11%,282,-75%,1,-3%,14,-48%,14,-48%
playstation-2,the hustle: detroit streets,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,1,-20%,4,-80%
wii-u,furious karting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
psp,mega man maverick hunter x,108,-89%,6,-5%,7,-6%,28,-82%,4,-12%,2,-6%
xbox-360,sherlock holmes vs. jack the ripper,6,-35%,8,-47%,3,-18%,5,-21%,16,-67%,3,-13%
pc,sherlock holmes vs. jack the ripper,39,-62%,20,-32%,4,-6%,13,-50%,13,-50%,0,0%
xbox-360,arc the lad: end of darkness,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-3,dynasty warriors 7,38,-54%,21,-30%,11,-16%,4,-16%,18,-72%,3,-12%
xbox-360,dynasty warriors 7,35,-73%,9,-19%,4,-8%,2,-9%,18,-82%,2,-9%
xbox-360,samurai warriors 2,13,-72%,5,-28%,0,0%,1,-3%,21,-70%,8,-27%
pc,samurai warriors 2,9,-69%,1,-8%,3,-23%,0,0%,2,-33%,4,-67%
playstation-2,samurai warriors 2,22,-81%,4,-15%,1,-4%,4,-15%,18,-69%,4,-15%
playstation-3,playstation move heroes,9,-45%,8,-40%,3,-15%,0,0%,29,-74%,10,-26%
wii,rock revolution,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,0,0%,4,-100%
playstation-3,rock revolution,N/A,N/A,N/A,N/A,N/A,N/A,1,-5%,5,-25%,14,-70%
xbox-360,rock revolution,3,-50%,0,0%,3,-50%,0,0%,5,-18%,23,-82%
psp,ape escape: on the loose,7,-47%,6,-40%,2,-13%,8,-23%,25,-71%,2,-6%
psp,ace combat: joint assault,15,-63%,6,-25%,3,-13%,14,-47%,16,-53%,0,0%
wii,ferrari challenge trofeo pirelli,1,-17%,1,-17%,4,-67%,2,-29%,4,-57%,1,-14%
playstation-3,ferrari challenge trofeo pirelli,3,-20%,6,-40%,6,-40%,13,-35%,23,-62%,1,-3%
ds,ferrari challenge trofeo pirelli,N/A,N/A,N/A,N/A,N/A,N/A,2,-25%,6,-75%,0,0%
playstation-2,ferrari challenge trofeo pirelli,2,-33%,3,-50%,1,-17%,N/A,N/A,N/A,N/A,N/A,N/A
pc,nascar thunder 2004,3,-60%,1,-20%,1,-20%,6,-67%,3,-33%,0,0%
playstation-2,nascar thunder 2004,15,-71%,2,-10%,4,-19%,14,-93%,1,-7%,0,0%
xbox,nascar thunder 2004,0,0%,1,-25%,3,-75%,12,-86%,2,-14%,0,0%
xbox-360,final fantasy xi,9,-56%,1,-6%,6,-38%,4,-16%,20,-80%,1,-4%
pc,final fantasy xi,67,-70%,12,-13%,17,-18%,24,-96%,1,-4%,0,0%
playstation-2,final fantasy xi,32,-62%,12,-23%,8,-15%,47,-96%,2,-4%,0,0%
pc,evil genius,81,-76%,22,-21%,4,-4%,29,-57%,22,-43%,0,0%
playstation-2,smash court tennis pro tournament 2,7,-78%,0,0%,2,-22%,27,-66%,14,-34%,0,0%
pc,world of warcraft: legion,885,-68%,168,-13%,250,-19%,61,-92%,1,-2%,0,0%
wii,marvel super hero squad: the infinity gauntlet,0,0%,2,-50%,2,-50%,0,0%,5,-83%,1,-17%
xbox-360,marvel super hero squad: the infinity gauntlet,4,-44%,2,-22%,3,-33%,0,0%,8,-80%,2,-20%
3ds,marvel super hero squad: the infinity gauntlet,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,3,-75%,1,-25%
psp,monster hunter freedom 2,30,-63%,9,-19%,9,-19%,19,-50%,19,-50%,0,0%
pc,commander: conquest of the americas,3,-14%,12,-55%,7,-32%,6,-38%,9,-56%,1,-6%
wii,lost in blue 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pc,pac-man world 3,5,-50%,4,-40%,1,-10%,3,-50%,3,-50%,0,0%
ds,pac-man world 3,8,-62%,0,0%,5,-38%,0,0%,4,-50%,4,-50%
playstation-2,pac-man world 3,6,-33%,7,-39%,5,-28%,5,-23%,12,-55%,5,-23%
psp,pac-man world 3,6,-55%,4,-36%,1,-9%,2,-22%,6,-67%,1,-11%
gamecube,pac-man world 3,8,-53%,4,-27%,3,-20%,2,-12%,14,-82%,1,-6%
playstation-2,fatal frame ii: crimson butterfly,123,-85%,16,-11%,6,-4%,33,-83%,7,-18%,0,0%
psp,viewtiful joe: red hot rumble,16,-89%,2,-11%,0,0%,1,-4%,23,-96%,0,0%
gamecube,viewtiful joe: red hot rumble,2,-33%,2,-33%,2,-33%,2,-7%,23,-85%,2,-7%
xbox-360,gitaroo man,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xbox-360,superman returns,4,-17%,8,-33%,12,-50%,5,-10%,23,-48%,20,-42%
ds,superman returns,2,-20%,2,-20%,6,-60%,0,0%,1,-13%,7,-88%
xbox,superman returns,N/A,N/A,N/A,N/A,N/A,N/A,0,0%,9,-56%,7,-44%
playstation-2,shining force exa,11,-73%,2,-13%,2,-13%,5,-21%,19,-79%,0,0%
xbox-series-x,dragon ball: advanced adventure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-2,shining force neo,11,-85%,0,0%,2,-15%,5,-42%,6,-50%,1,-8%
playstation-2,family guy,13,-46%,12,-43%,3,-11%,0,0%,18,-51%,17,-49%
xbox,family guy,3,-38%,4,-50%,1,-13%,0,0%,14,-70%,6,-30%
psp,family guy,3,-30%,5,-50%,2,-20%,0,0%,8,-57%,6,-43%
playstation-4,mx vs. atv supercross encore,7,-32%,3,-14%,12,-55%,0,0%,2,-25%,6,-75%
xbox-one,mx vs. atv supercross encore,2,-25%,1,-13%,5,-63%,1,-25%,0,0%,3,-75%
pc,ty the tasmanian tiger,7,-64%,4,-36%,0,0%,N/A,N/A,N/A,N/A,N/A,N/A
playstation-2,ty the tasmanian tiger,31,-69%,13,-29%,1,-2%,6,-43%,8,-57%,0,0%
xbox,ty the tasmanian tiger,4,-80%,0,0%,1,-20%,6,-46%,5,-38%,2,-15%
gamecube,ty the tasmanian tiger,9,-56%,6,-38%,1,-6%,6,-50%,5,-42%,1,-8%
playstation-2,dave mirra freestyle bmx 2,9,-69%,3,-23%,1,-8%,16,-76%,5,-24%,0,0%
game-boy-advance,dave mirra freestyle bmx 2,3,-75%,0,0%,1,-25%,5,-71%,2,-29%,0,0%
playstation-3,killzone 2,681,-71%,189,-20%,85,-9%,90,-96%,4,-4%,0,0%
pc,battle engine aquila,13,-76%,3,-18%,1,-6%,3,-27%,8,-73%,0,0%
wii-u,battle engine aquila,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-3,lost planet 3,45,-38%,34,-29%,39,-33%,4,-13%,23,-77%,3,-10%
xbox-360,lost planet 3,64,-42%,41,-27%,49,-32%,4,-9%,34,-79%,5,-12%
pc,lost planet 3,98,-40%,83,-34%,62,-26%,3,-18%,13,-76%,1,-6%
pc,still life 2,13,-23%,26,-46%,18,-32%,4,-27%,10,-67%,1,-7%
wii,rock band 2,20,-59%,5,-15%,9,-26%,10,-100%,0,0%,0,0%
playstation-3,rock band 2,55,-80%,8,-12%,6,-9%,24,-100%,0,0%,0,0%
xbox-360,rock band 2,70,-80%,10,-11%,7,-8%,69,-100%,0,0%,0,0%
psp,star wars: lethal alliance,5,-42%,5,-42%,2,-17%,1,-3%,26,-84%,4,-13%
ds,glory of heracles,11,-65%,3,-18%,3,-18%,7,-30%,16,-70%,0,0%
playstation-3,resident evil: revelations,182,-64%,65,-23%,39,-14%,18,-60%,12,-40%,0,0%
xbox-360,resident evil: revelations,159,-71%,36,-16%,30,-13%,17,-57%,13,-43%,0,0%
playstation-4,resident evil: revelations,111,-64%,47,-27%,15,-9%,14,-44%,18,-56%,0,0%
xbox-one,resident evil: revelations,45,-76%,7,-12%,7,-12%,5,-83%,1,-17%,0,0%
pc,resident evil: revelations,293,-54%,178,-33%,74,-14%,9,-75%,3,-25%,0,0%
wii-u,resident evil: revelations,134,-71%,28,-15%,28,-15%,14,-74%,5,-26%,0,0%
nintendo-switch,resident evil: revelations,139,-71%,45,-23%,13,-7%,16,-84%,3,-16%,0,0%
3ds,resident evil: revelations,517,-81%,78,-12%,45,-7%,68,-87%,10,-13%,0,0%
psp,flatout: head on,31,-79%,6,-15%,2,-5%,15,-54%,12,-43%,1,-4%
playstation-2,x-men legends,27,-75%,6,-17%,3,-8%,38,-79%,9,-19%,1,-2%
xbox,x-men legends,14,-74%,2,-11%,3,-16%,55,-87%,7,-11%,1,-2%
gamecube,x-men legends,13,-87%,2,-13%,0,0%,31,-86%,4,-11%,1,-3%
psp,field commander,24,-86%,3,-11%,1,-4%,36,-68%,16,-30%,1,-2%
playstation-2,nba street vol. 2,50,-86%,6,-10%,2,-3%,30,-97%,1,-3%,0,0%
