platform,game_title,user_positive_count,user_positive_percent,user_mixed_count,user_mixed_percent,user_negative_count,user_negative_percent,critic_positive_count,critic_positive_percent,critic_mixed_count,critic_mixed_percent,critic_negative_count,critic_negative_percent
wii,race driver: create & race,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-2,socom ii: u.s. navy seals,50,-86%,2,-3%,6,-10%,39,-93%,3,-7%,0,0%
ds,mega man zero collection,63,-83%,4,-5%,9,-12%,11,-73%,4,-27%,0,0%
playstation-2,global touring challenge: africa,N/A,N/A,N/A,N/A,N/A,N/A,3,-25%,9,-75%,0,0%
playstation-2,xenosaga episode iii: also sprach zarathustra,92,-89%,5,-5%,6,-6%,28,-82%,6,-18%,0,0%
pc,alone in the dark,24,-40%,27,-45%,9,-15%,15,-34%,23,-52%,4,-9%
playstation-5,alone in the dark,178,-58%,94,-31%,35,-11%,21,-27%,45,-58%,10,-13%
xbox-series-x,alone in the dark,8,-57%,4,-29%,2,-14%,11,-44%,9,-36%,3,-12%
playstation-4,cities: skylines,87,-59%,41,-28%,20,-14%,14,-93%,1,-7%,0,0%
xbox-one,cities: skylines,55,-59%,19,-20%,19,-20%,25,-83%,5,-17%,0,0%
pc,cities: skylines,2.0k,-86%,253,-11%,83,-4%,58,-97%,2,-3%,0,0%
nintendo-switch,cities: skylines,40,-71%,4,-7%,12,-21%,8,-44%,9,-50%,1,-6%
psp,dungeon siege: throne of agony,25,-76%,5,-15%,3,-9%,16,-50%,16,-50%,0,0%
playstation-2,mega man anniversary collection,21,-68%,4,-13%,6,-19%,23,-88%,3,-12%,0,0%
xbox,mega man anniversary collection,6,-46%,0,0%,7,-54%,10,-83%,2,-17%,0,0%
gamecube,mega man anniversary collection,23,-74%,1,-3%,7,-23%,30,-94%,2,-6%,0,0%
playstation-3,puzzle quest: galactrix,N/A,N/A,N/A,N/A,N/A,N/A,8,-62%,3,-23%,2,-15%
xbox-360,puzzle quest: galactrix,3,-75%,1,-25%,0,0%,18,-67%,9,-33%,0,0%
pc,puzzle quest: galactrix,4,-21%,11,-58%,4,-21%,14,-45%,17,-55%,0,0%
ds,puzzle quest: galactrix,2,-40%,2,-40%,1,-20%,22,-67%,10,-30%,1,-3%
3ds,bravely second: end layer,169,-78%,22,-10%,26,-12%,58,-82%,12,-17%,0,0%
playstation-3,untold legends: dark kingdom,3,-16%,10,-53%,6,-32%,3,-8%,32,-80%,5,-13%
pc,the night of the rabbit,74,-67%,20,-18%,16,-15%,24,-53%,21,-47%,0,0%
3ds,the night of the rabbit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xbox-360,virtua quest,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-5,virtua quest,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xbox-360,everblue 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
playstation-3,castlevania: lords of shadow - mirror of fate,34,-50%,27,-40%,7,-10%,3,-30%,7,-70%,0,0%
xbox-360,castlevania: lords of shadow - mirror of fate,20,-63%,6,-19%,6,-19%,7,-44%,9,-56%,0,0%
pc,castlevania: lords of shadow - mirror of fate,40,-56%,22,-31%,9,-13%,N/A,N/A,N/A,N/A,N/A,N/A
3ds,castlevania: lords of shadow - mirror of fate,169,-63%,55,-21%,44,-16%,31,-46%,35,-51%,2,-3%
xbox-360,lego star wars ii: the original trilogy,68,-72%,23,-24%,3,-3%,41,-82%,9,-18%,0,0%
pc,lego star wars ii: the original trilogy,91,-81%,17,-15%,4,-4%,20,-100%,0,0%,0,0%
ds,lego star wars ii: the original trilogy,4,-19%,6,-29%,11,-52%,0,0%,3,-33%,6,-67%
playstation-2,lego star wars ii: the original trilogy,65,-84%,11,-14%,1,-1%,31,-97%,1,-3%,0,0%
xbox,lego star wars ii: the original trilogy,12,-80%,2,-13%,1,-7%,25,-93%,2,-7%,0,0%
psp,lego star wars ii: the original trilogy,29,-67%,10,-23%,4,-9%,11,-100%,0,0%,0,0%
game-boy-advance,lego star wars ii: the original trilogy,2,-29%,5,-71%,0,0%,2,-40%,1,-20%,2,-40%
gamecube,lego star wars ii: the original trilogy,21,-91%,1,-4%,1,-4%,23,-92%,2,-8%,0,0%
xbox-360,b-boy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pc,battlefield 2,774,-83%,126,-14%,33,-4%,54,-98%,1,-2%,0,0%
playstation-2,backyard wrestling: don't try this at home,3,-30%,3,-30%,4,-40%,1,-4%,11,-46%,12,-50%
playstation-3,medal of honor: airborne,26,-57%,17,-37%,3,-7%,9,-56%,7,-44%,0,0%
xbox-360,medal of honor: airborne,40,-43%,44,-48%,8,-9%,29,-54%,24,-44%,1,-2%
pc,medal of honor: airborne,128,-49%,113,-43%,20,-8%,26,-68%,12,-32%,0,0%
pc,space hulk,84,-50%,40,-24%,45,-27%,1,-5%,19,-86%,2,-9%
playstation-2,spyro: a hero's tail,52,-66%,23,-29%,4,-5%,1,-6%,11,-69%,4,-25%
xbox,spyro: a hero's tail,12,-57%,6,-29%,3,-14%,3,-18%,12,-71%,2,-12%
gamecube,spyro: a hero's tail,9,-50%,5,-28%,4,-22%,1,-8%,10,-77%,2,-15%
game-boy-advance,kirby: nightmare in dream land,82,-78%,22,-21%,1,-1%,18,-75%,6,-25%,0,0%
wii,secret files: tunguska,4,-67%,0,0%,2,-33%,1,-8%,11,-92%,0,0%
pc,secret files: tunguska,28,-53%,21,-40%,4,-8%,8,-31%,18,-69%,0,0%
ds,secret files: tunguska,2,-50%,2,-50%,0,0%,2,-33%,4,-67%,0,0%
nintendo-switch,secret files: tunguska,4,-67%,2,-33%,0,0%,N/A,N/A,N/A,N/A,N/A,N/A
wii,deadly creatures,18,-69%,7,-27%,1,-4%,25,-56%,19,-42%,1,-2%
xbox-360,dead or alive 4,92,-75%,22,-18%,8,-7%,64,-84%,12,-16%,0,0%
playstation-3,mugen souls z,24,-67%,4,-11%,8,-22%,3,-12%,19,-73%,4,-15%
playstation-2,shin megami tensei: persona 3,185,-82%,18,-8%,23,-10%,48,-92%,4,-8%,0,0%
