GPSID,GamePlatformID,game_title,platform,user_positive_count,user_positive_percent,user_mixed_count,user_mixed_percent,user_negative_count,user_negative_percent,critic_positive_count,critic_positive_percent,critic_mixed_count,critic_mixed_percent,critic_negative_count,critic_negative_percent
67,178,puzzle quest: galactrix,pc,4.0,-0.21,11.0,-0.58,4.0,-0.21,14.0,-0.45,17.0,-0.55,0.0,0.0
68,27,puzzle quest: galactrix,ds,2.0,-0.4,2.0,-0.4,1.0,-0.2,22.0,-0.67,10.0,-0.3,1.0,-0.03
69,20,bravely second: end layer,3ds,169.0,-0.78,22.0,-0.1,26.0,-0.12,58.0,-0.82,12.0,-0.17,0.0,0.0
70,318,untold legends: dark kingdom,playstation-3,3.0,-0.16,10.0,-0.53,6.0,-0.32,3.0,-0.08,32.0,-0.8,5.0,-0.13
71,180,the night of the rabbit,pc,74.0,-0.67,20.0,-0.18,16.0,-0.15,24.0,-0.53,21.0,-0.47,0.0,0.0
73,319,castlevania: lords of shadow - mirror of fate,playstation-3,34.0,-0.5,27.0,-0.4,7.0,-0.1,3.0,-0.3,7.0,-0.7,0.0,0.0
74,533,castlevania: lords of shadow - mirror of fate,xbox-360,20.0,-0.63,6.0,-0.19,6.0,-0.19,7.0,-0.44,9.0,-0.56,0.0,0.0
76,13,castlevania: lords of shadow - mirror of fate,3ds,169.0,-0.63,55.0,-0.21,44.0,-0.16,31.0,-0.46,35.0,-0.51,2.0,-0.03
77,535,lego star wars ii: the original trilogy,xbox-360,68.0,-0.72,23.0,-0.24,3.0,-0.03,41.0,-0.82,9.0,-0.18,0.0,0.0
78,186,lego star wars ii: the original trilogy,pc,91.0,-0.81,17.0,-0.15,4.0,-0.04,20.0,-1.0,0.0,0.0,0.0,0.0
79,30,lego star wars ii: the original trilogy,ds,4.0,-0.19,6.0,-0.29,11.0,-0.52,0.0,0.0,3.0,-0.33,6.0,-0.67
80,243,lego star wars ii: the original trilogy,playstation-2,65.0,-0.84,11.0,-0.14,1.0,-0.01,31.0,-0.97,1.0,-0.03,0.0,0.0
81,441,lego star wars ii: the original trilogy,xbox,12.0,-0.8,2.0,-0.13,1.0,-0.07,25.0,-0.93,2.0,-0.07,0.0,0.0
82,368,lego star wars ii: the original trilogy,psp,29.0,-0.67,10.0,-0.23,4.0,-0.09,11.0,-1.0,0.0,0.0,0.0,0.0
83,61,lego star wars ii: the original trilogy,game-boy-advance,2.0,-0.29,5.0,-0.71,0.0,0.0,2.0,-0.4,1.0,-0.2,2.0,-0.4
84,69,lego star wars ii: the original trilogy,gamecube,21.0,-0.91,1.0,-0.04,1.0,-0.04,23.0,-0.92,2.0,-0.08,0.0,0.0
85,187,battlefield 2,pc,774.0,-0.83,126.0,-0.14,33.0,-0.04,54.0,-0.98,1.0,-0.02,0.0,0.0
86,245,backyard wrestling: don't try this at home,playstation-2,3.0,-0.3,3.0,-0.3,4.0,-0.4,1.0,-0.04,11.0,-0.46,12.0,-0.5
87,320,medal of honor: airborne,playstation-3,26.0,-0.57,17.0,-0.37,3.0,-0.07,9.0,-0.56,7.0,-0.44,0.0,0.0
88,540,medal of honor: airborne,xbox-360,40.0,-0.43,44.0,-0.48,8.0,-0.09,29.0,-0.54,24.0,-0.44,1.0,-0.02
89,174,medal of honor: airborne,pc,128.0,-0.49,113.0,-0.43,20.0,-0.08,26.0,-0.68,12.0,-0.32,0.0,0.0
90,183,space hulk,pc,84.0,-0.5,40.0,-0.24,45.0,-0.27,1.0,-0.05,19.0,-0.86,2.0,-0.09
91,247,spyro: a hero's tail,playstation-2,52.0,-0.66,23.0,-0.29,4.0,-0.05,1.0,-0.06,11.0,-0.69,4.0,-0.25
92,445,spyro: a hero's tail,xbox,12.0,-0.57,6.0,-0.29,3.0,-0.14,3.0,-0.18,12.0,-0.71,2.0,-0.12
93,72,spyro: a hero's tail,gamecube,9.0,-0.5,5.0,-0.28,4.0,-0.22,1.0,-0.08,10.0,-0.77,2.0,-0.15
94,55,kirby: nightmare in dream land,game-boy-advance,82.0,-0.78,22.0,-0.21,1.0,-0.01,18.0,-0.75,6.0,-0.25,0.0,0.0
95,395,secret files: tunguska,wii,4.0,-0.67,0.0,0.0,2.0,-0.33,1.0,-0.08,11.0,-0.92,0.0,0.0
96,169,secret files: tunguska,pc,28.0,-0.53,21.0,-0.4,4.0,-0.08,8.0,-0.31,18.0,-0.69,0.0,0.0
97,31,secret files: tunguska,ds,2.0,-0.5,2.0,-0.5,0.0,0.0,2.0,-0.33,4.0,-0.67,0.0,0.0
99,397,deadly creatures,wii,18.0,-0.69,7.0,-0.27,1.0,-0.04,25.0,-0.56,19.0,-0.42,1.0,-0.02
100,530,dead or alive 4,xbox-360,92.0,-0.75,22.0,-0.18,8.0,-0.07,64.0,-0.84,12.0,-0.16,0.0,0.0
101,323,mugen souls z,playstation-3,24.0,-0.67,4.0,-0.11,8.0,-0.22,3.0,-0.12,19.0,-0.73,4.0,-0.15
102,248,shin megami tensei: persona 3,playstation-2,185.0,-0.82,18.0,-0.08,23.0,-0.1,48.0,-0.92,4.0,-0.08,0.0,0.0
103,249,kingdom hearts,playstation-2,961.0,-0.84,114.0,-0.1,69.0,-0.06,43.0,-0.93,3.0,-0.07,0.0,0.0
104,324,littlebigplanet,playstation-3,1100.0,-0.74,311.0,-0.2,85.0,-0.06,85.0,-1.0,0.0,0.0,0.0,0.0
105,366,littlebigplanet,psp,83.0,-0.66,30.0,-0.24,13.0,-0.1,66.0,-0.97,2.0,-0.03,0.0,0.0
106,513,left 4 dead,xbox-360,401.0,-0.72,131.0,-0.24,23.0,-0.04,66.0,-0.99,1.0,-0.01,0.0,0.0
107,132,left 4 dead,pc,1100.0,-0.78,263.0,-0.18,68.0,-0.05,57.0,-0.98,1.0,-0.02,0.0,0.0
108,29,the sims 2: apartment pets,ds,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,8.0,-0.67,4.0,-0.33
109,296,disgaea d2: a brighter darkness,playstation-3,53.0,-0.79,8.0,-0.12,6.0,-0.09,24.0,-0.65,13.0,-0.35,0.0,0.0
110,409,rockstar games presents table tennis,wii,3.0,-0.38,4.0,-0.5,1.0,-0.13,10.0,-0.28,25.0,-0.69,1.0,-0.03
111,515,rockstar games presents table tennis,xbox-360,29.0,-0.64,11.0,-0.24,5.0,-0.11,65.0,-0.87,10.0,-0.13,0.0,0.0
112,328,aquapazza: aquaplus dream match,playstation-3,15.0,-0.65,6.0,-0.26,2.0,-0.09,6.0,-0.46,7.0,-0.54,0.0,0.0
113,246,devil may cry 3: dante's awakening,playstation-2,522.0,-0.89,38.0,-0.07,24.0,-0.04,53.0,-0.88,6.0,-0.1,1.0,-0.02
114,48,tony hawk's american sk8land,ds,23.0,-0.66,4.0,-0.11,8.0,-0.23,26.0,-0.84,5.0,-0.16,0.0,0.0
116,411,pandora's tower,wii,102.0,-0.79,17.0,-0.13,10.0,-0.08,28.0,-0.58,20.0,-0.42,0.0,0.0
117,230,god of war ii,playstation-2,2000.0,-0.92,127.0,-0.06,52.0,-0.02,69.0,-0.99,1.0,-0.01,0.0,0.0
118,5,super mario 3d land,3ds,1300.0,-0.81,230.0,-0.14,68.0,-0.04,81.0,-0.99,1.0,-0.01,0.0,0.0
119,225,ty the tasmanian tiger 2: bush rescue,playstation-2,18.0,-0.72,6.0,-0.24,1.0,-0.04,7.0,-0.29,17.0,-0.71,0.0,0.0
120,454,ty the tasmanian tiger 2: bush rescue,xbox,4.0,-0.5,4.0,-0.5,0.0,0.0,9.0,-0.31,20.0,-0.69,0.0,0.0
121,57,ty the tasmanian tiger 2: bush rescue,game-boy-advance,0.0,0.0,4.0,-1.0,0.0,0.0,1.0,-0.14,6.0,-0.86,0.0,0.0
122,89,ty the tasmanian tiger 2: bush rescue,gamecube,11.0,-0.69,4.0,-0.25,1.0,-0.06,8.0,-0.4,12.0,-0.6,0.0,0.0
123,133,serious sam ii,pc,139.0,-0.48,125.0,-0.43,26.0,-0.09,16.0,-0.52,15.0,-0.48,0.0,0.0
125,332,time crisis 4,playstation-3,4.0,-0.31,6.0,-0.46,3.0,-0.23,8.0,-0.15,35.0,-0.67,9.0,-0.17
127,227,ford racing 2,playstation-2,12.0,-0.67,4.0,-0.22,2.0,-0.11,1.0,-0.2,1.0,-0.2,3.0,-0.6
128,108,broken sword 5: the serpent's curse,pc,120.0,-0.67,47.0,-0.26,11.0,-0.06,16.0,-0.41,23.0,-0.59,0.0,0.0
130,333,lair,playstation-3,27.0,-0.44,18.0,-0.3,16.0,-0.26,6.0,-0.11,32.0,-0.58,17.0,-0.31
131,428,wii party u,wii-u,92.0,-0.53,57.0,-0.33,25.0,-0.14,11.0,-0.29,24.0,-0.63,3.0,-0.08
132,237,magna carta: tears of blood,playstation-2,7.0,-0.41,4.0,-0.24,6.0,-0.35,10.0,-0.29,19.0,-0.56,5.0,-0.15
133,129,the operative: no one lives forever,pc,209.0,-0.88,18.0,-0.08,11.0,-0.05,32.0,-1.0,0.0,0.0,0.0,0.0
134,231,the operative: no one lives forever,playstation-2,10.0,-0.77,3.0,-0.23,0.0,0.0,6.0,-0.26,15.0,-0.65,2.0,-0.09
