GVID,GameID,Year,Genre,Publisher,developer,Total_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,user_review_count,critic_review_count
1114,1114,2004,Racing,THQ,Climax Studios,1.15,0.69,0.37,0.0,0.09,5,11
1115,1115,2007,Adventure,Nintendo,Cing,0.5700000000000001,0.27,0.05,0.22,0.03,105,57
1116,1116,2007,Shooter,Midway Games,Nfusion,0.12,0.1,0.01,0.0,0.01,23,33
1117,1117,2003,Action,Universal Interactive,Radical Entertainment,1.6,0.92,0.52,0.0,0.16,20,28
1118,1118,2011,Action,Bethesda Softworks,InXile Entertainment,0.53,0.28,0.16,0.02,0.07,117,59
1119,1119,2002,Action,Interplay,High Voltage Software,0.4700000000000001,0.36,0.1,0.0,0.01,10,28
1120,1120,2014,Role-Playing,Idea Factory,Sting,0.19,0.08,0.02,0.06,0.03,42,24
1121,1121,2010,Role-Playing,Tecmo Koei,Idea Factory,0.6300000000000001,0.31,0.11,0.14,0.07,136,31
1122,1122,2014,Action,Idea Factory,Tamsoft,0.18,0.07,0.02,0.06,0.03,51,20
1123,1123,2012,Role-Playing,Compile Heart,Idea Factory,0.23,0.05,0.03,0.13,0.02,88,19
1124,1124,2014,Action,Nintendo,Omega Force,1.6800000000000002,0.77,0.54,0.24,0.13,737,81
1125,1125,2003,Platform,Sony,Argonaut Games,0.55,0.31,0.19,0.0,0.05,33,39
1126,1126,2002,Action,Ubisoft,Artificial Mind and Movement,0.38,0.27,0.1,0.0,0.01,10,11
1127,1127,2006,Platform,Vivendi Games,Eurocom,1.16,0.78,0.3,0.0,0.08,30,19
1128,1128,2009,Action,Activision,Activision,1.1800000000000002,0.63,0.43,0.0,0.12,13,28
1129,1129,2002,Role-Playing,Interplay,Black Isle Studios,0.01,0.0,0.01,0.0,0.0,193,22
1130,1130,2001,Action,Sony,SCE Japan Studio,0.53,0.23,0.18,0.06,0.06,524,59
1131,1131,2003,Shooter,Atari,Treasure,0.09,0.07,0.02,0.0,0.0,41,52
1132,1132,2001,Simulation,Blue Byte,1C Entertainment,0.01,0.0,0.01,0.0,0.0,181,12
1133,1133,2006,Simulation,Ubisoft,1C: Maddox Games,0.05,0.0,0.04,0.0,0.01,102,9
1134,1134,2009,Simulation,505 Games,Gaijin Entertainment,1.4700000000000002,0.7100000000000001,0.5700000000000001,0.0,0.19,11,43
1135,1135,2002,Strategy,Microsoft,Relic Entertainment,0.01,0.0,0.01,0.0,0.0,40,30
1136,1136,2008,Role-Playing,Nintendo,Level 5,0.54,0.0,0.14,0.38,0.02,78,15
1137,1137,2011,Role-Playing,Nintendo,Level 5,0.26,0.0,0.01,0.25,0.0,40,16
1138,1138,2003,Action,LucasArts,The Collective,0.19,0.14,0.04,0.0,0.01,19,43
1139,1139,2009,Action,Activision,Artificial Mind and Movement,1.55,0.75,0.48,0.0,0.32,23,32
1140,1140,2005,Adventure,Atari,Quantic Dream,0.27,0.14,0.11,0.0,0.02,69,51
1141,1141,2009,Action,Sony,Sucker Punch,2.9400000000000004,1.76,0.69,0.12,0.37,1266,98
