RID,GameID,metascore,global_user_score_mean,user_score_mean
227,227,90,7.8,7.409
228,228,75,7.1,6.4
229,229,62,5.377,5.385
230,230,49,6.314,5.714
231,231,52,6.982,6.892
232,232,58,6.229,6.0
233,233,63,5.7,6.833
234,234,86,8.085,8.308
235,235,83,8.08,8.8
236,236,80,7.638,8.385
237,237,85,7.911,7.611
238,238,83,7.555,8.5
239,239,64,6.633,7.222
240,240,72,5.35,0.5
241,241,66,5.9,6.667
242,242,82,7.3,8.0
243,243,58,6.9,5.667
244,244,58,7.1,7.136
245,245,83,6.4,8.5
246,246,68,8.8,8.8
247,247,71,7.7,7.158
248,248,78,7.767,7.667
249,249,68,7.769,8.231
250,250,76,8.077,7.538
251,251,71,7.3,7.5
252,252,92,8.9,9.085
253,253,76,7.817,7.087
254,254,71,7.146,7.308
255,255,71,8.1,8.8
256,256,59,7.6,7.333
257,257,75,8.3,8.833
258,258,58,5.25,5.0
259,259,79,7.9,7.367
260,260,69,8.0,9.0
261,261,82,7.871,7.892
262,262,58,4.557,4.714
263,263,83,7.0,6.75
264,264,81,8.4,9.167
265,265,57,6.9,10.0
266,266,78,7.8,7.5
267,267,85,6.4,8.222
268,268,86,7.2,7.8
269,269,84,7.669,7.294
270,270,89,8.045,8.191
271,271,82,7.841,8.0
272,272,75,6.426,6.419
273,273,82,8.3,8.375
274,274,56,6.307,6.123
275,275,93,8.5,7.694
276,276,77,7.1,7.0
277,277,69,7.2,7.0
278,278,60,4.95,2.5
279,279,81,8.2,7.389
280,280,71,7.7,9.286
281,281,79,7.4,6.273
282,282,78,6.3,3.0
283,283,68,5.866,5.407
284,284,63,8.133,6.333
285,285,69,8.0,7.854
286,286,80,8.1,10.0
287,287,82,7.1,5.8
288,288,65,3.1,0.5
289,289,45,4.0,1.0
290,290,85,7.7,7.133
291,291,76,7.609,7.447
292,292,88,7.575,6.429
293,293,86,8.265,8.051
294,294,32,3.5,4.6
295,295,82,7.719,7.418
296,296,77,8.1,9.2
297,297,79,6.8,8.667
298,298,72,7.12,6.2
299,299,61,4.0,4.0
300,300,72,6.9,7.5
301,301,55,6.162,6.5
302,302,84,7.73,7.418
303,303,87,8.8,8.75
304,304,80,8.156,8.307
305,305,86,8.418,8.273
306,306,94,8.921,9.333
307,307,76,8.057,7.857
308,308,86,7.174,6.741
309,309,88,7.718,6.952
310,310,89,8.898,9.102
311,311,53,6.0,6.0
312,312,49,4.9,1.667
313,313,68,7.0,7.0
314,314,80,7.8,10.0
315,315,80,7.85,9.0
316,316,77,6.4,7.0
317,317,75,7.5,8.5
318,318,55,3.3,8.0
319,319,59,6.5,4.0
320,320,55,5.2,5.2
321,321,77,7.6,5.622
322,322,89,8.341,8.207
323,323,78,7.548,7.905
324,324,82,6.74,6.83
325,325,94,8.107,8.382
326,326,81,5.472,6.381
327,327,87,6.544,8.128
328,328,83,5.991,8.201
329,329,73,6.95,6.25
330,330,78,3.426,6.462
331,331,94,7.512,8.215
332,332,88,3.024,6.27
333,333,84,7.711,7.961
334,334,71,7.362,6.564
335,335,77,7.748,6.742
336,336,47,4.829,4.117
337,337,49,7.6,7.5
338,338,78,8.6,8.333
339,339,75,8.2,8.0
340,340,72,7.9,4.5
341,341,57,5.5,4.0
342,342,60,6.978,7.093
343,343,81,8.18,8.155
