SSID,GameID,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean
819,819,0.244,0.016,-0.224
820,820,0.594,0.075,0.139
821,821,0.646,0.136,0.064
822,822,0.572,0.089,0.059
823,823,0.354,0.014,-0.347
824,824,0.771,0.085,0.395
825,825,0.191,0.169,0.014
826,826,0.536,0.142,0.341
827,827,0.442,-0.009,0.487
828,828,0.57,0.031,0.066
829,829,0.097,0.029,-0.307
830,830,0.57,0.085,0.32
831,831,0.636,0.077,0.064
832,832,0.878,0.156,1.0
833,833,0.579,0.143,0.186
834,834,0.186,0.024,-0.178
835,835,0.041,-0.168,-0.6
836,836,0.921,0.121,0.638
837,837,0.936,0.294,0.383
838,838,0.465,0.036,-0.225
839,839,0.686,0.004,-0.009
840,840,0.649,0.024,0.428
841,841,0.64,0.03,0.155
842,842,0.919,0.207,0.669
843,843,0.743,0.04,0.999
844,844,0.607,0.089,0.424
845,845,0.735,0.167,0.232
846,846,0.662,0.117,0.317
847,847,0.631,0.127,0.224
848,848,0.634,0.101,0.441
849,849,0.413,0.012,0.002
850,850,0.736,0.216,0.654
851,851,0.418,-0.011,-0.151
852,852,0.546,0.023,-0.224
853,853,0.859,0.188,0.987
854,854,0.585,0.058,0.49
855,855,0.619,0.105,0.14
856,856,0.407,0.136,0.205
857,857,0.429,0.035,0.007
858,858,0.593,0.077,-0.052
859,859,0.786,0.195,0.286
860,860,0.561,0.038,0.086
861,861,0.848,0.117,0.312
862,862,0.613,0.129,0.662
863,863,0.618,0.184,0.332
864,864,0.727,0.159,0.492
865,865,0.44,0.128,0.348
866,866,0.361,0.048,-0.162
867,867,0.693,0.147,0.723
868,868,0.918,0.157,0.481
869,869,0.785,0.068,0.48
870,870,0.52,0.091,-0.082
871,871,0.596,-0.011,0.001
872,872,0.644,0.1,0.427
873,873,0.622,0.122,0.468
874,874,0.714,0.151,0.772
875,875,0.383,0.075,0.109
876,876,0.468,-0.006,-0.019
877,877,0.63,0.087,0.513
878,878,0.457,0.252,-0.207
879,879,0.786,0.107,0.259
880,880,0.723,0.087,0.34
881,881,0.326,-0.007,-0.367
882,882,0.188,-0.07,-0.599
883,883,0.389,-0.069,-0.584
884,884,0.504,0.021,-0.35
885,885,0.914,0.153,0.012
886,886,0.976,0.125,0.978
887,887,0.208,-0.132,-0.658
888,888,0.89,0.295,0.812
889,889,0.281,0.133,-0.167
890,890,0.767,0.101,0.216
891,891,0.755,0.198,0.569
892,892,0.749,0.208,0.584
893,893,0.586,0.118,0.293
894,894,0.262,-0.016,-0.374
895,895,0.64,0.122,0.184
896,896,0.741,0.117,0.248
897,897,0.712,0.151,0.59
898,898,0.563,0.033,-0.113
899,899,0.543,0.143,0.264
900,900,0.911,0.065,0.726
901,901,0.887,0.127,0.496
902,902,0.496,0.005,-0.59
903,903,0.566,0.095,0.374
904,904,0.845,0.243,0.995
905,905,0.708,0.148,0.891
906,906,0.417,0.058,-0.095
907,907,0.554,0.053,0.326
908,908,0.751,0.12,0.6
909,909,0.978,0.004,0.998
910,910,0.761,0.097,-0.002
911,911,0.696,0.073,0.303
912,912,0.504,0.191,0.497
913,913,0.37,-0.012,-0.494
914,914,0.18,0.006,0.018
915,915,-0.909,-0.405,-0.999
916,916,0.609,0.098,-0.008
917,917,0.489,0.049,0.496
918,918,0.376,0.075,0.006
919,919,0.234,0.109,0.002
920,920,0.366,0.104,0.327
921,921,0.303,-0.235,0.878
922,922,0.292,0.007,-0.665
923,923,0.846,0.114,-0.178
924,924,0.351,-0.001,0.43
925,925,0.283,-0.125,-0.332
926,926,0.687,0.054,0.253
927,927,-0.107,-0.167,-0.037
928,928,0.863,0.011,-0.993
929,929,0.974,0.107,0.994
930,930,0.67,0.01,-0.021
931,931,0.823,0.097,0.014
932,932,0.433,-0.029,-0.339
933,933,0.395,-0.188,-0.426
934,934,0.14,-0.104,-0.001
935,935,-0.065,-0.228,-0.992
936,936,0.869,0.067,1.0
937,937,0.83,0.072,0.593
938,938,0.824,0.083,-0.325
939,939,0.43,0.148,0.535
940,940,0.676,0.258,0.661
941,941,0.666,0.287,0.655
942,942,0.068,-0.014,-0.198
943,943,0.322,0.118,0.058
944,944,0.827,0.165,0.536
945,945,-0.195,-0.046,-0.268
946,946,0.946,0.319,0.999
947,947,-0.13,0.011,0.282
948,948,-0.055,0.034,-0.034
949,949,0.374,0.054,0.516
950,950,0.751,0.179,0.789
951,951,0.816,0.112,0.332
952,952,0.724,0.112,0.5
953,953,0.294,0.118,-0.191
954,954,0.752,0.367,0.989
955,955,0.722,0.125,0.457
956,956,0.799,0.104,0.565
957,957,0.404,0.001,-0.097
958,958,0.355,-0.066,-0.328
959,959,0.587,0.026,-0.534
960,960,0.41,0.005,-0.043
961,961,0.418,0.145,0.468
962,962,0.462,0.105,0.007
963,963,0.419,0.217,0.669
964,964,0.454,0.196,0.447
965,965,0.21,0.099,0.177
966,966,0.374,0.153,0.432
967,967,0.41,0.105,0.337
968,968,0.725,0.187,0.596
969,969,0.472,0.037,0.197
970,970,0.368,0.046,0.345
971,971,0.878,0.109,0.803
972,972,0.705,0.095,0.556
973,973,0.213,-0.028,-0.183
974,974,0.681,0.197,0.662
975,975,0.69,0.083,0.234
976,976,0.739,0.168,0.467
977,977,0.409,0.029,-0.249
978,978,0.337,0.102,0.075
979,979,0.51,0.073,-0.009
980,980,0.394,0.054,-0.173
981,981,0.588,0.035,0.186
982,982,0.878,0.503,1.0
983,983,0.472,0.133,0.777
984,984,0.685,0.118,0.446
985,985,0.545,0.088,0.483
986,986,0.594,0.103,0.171
987,987,0.127,-0.117,-0.735
988,988,0.536,0.136,0.051
989,989,0.647,0.148,0.37
990,990,0.93,0.179,0.999
991,991,0.388,0.054,0.226
992,992,0.6,0.18,0.454
993,993,0.51,0.107,0.194
994,994,0.697,0.165,0.422
995,995,0.516,0.116,0.133
996,996,0.5,0.123,0.196
997,997,0.593,0.12,0.398
998,998,0.505,0.052,0.229
999,999,0.797,0.185,0.695
1000,1000,0.761,0.192,0.115
1001,1001,0.311,-0.017,-0.188
1002,1002,0.868,0.135,0.511
1003,1003,0.652,0.136,0.377
1004,1004,0.735,0.101,0.316
1005,1005,0.87,0.135,0.396
1006,1006,0.48,0.055,0.081
1007,1007,0.474,0.055,-0.083
1008,1008,0.53,0.069,-0.028
1009,1009,0.525,0.073,-0.116
1010,1010,0.724,0.28,0.992
1011,1011,0.894,0.117,0.999
1012,1012,0.975,0.071,0.988
1013,1013,0.901,-0.015,-0.975
1014,1014,0.682,0.102,0.382
1015,1015,0.379,0.079,-0.16
1016,1016,0.649,0.028,-0.999
1017,1017,0.893,0.25,1.0
1018,1018,0.779,0.153,0.997
1019,1019,0.917,0.529,1.0
1020,1020,0.652,0.095,0.303
1021,1021,0.598,0.203,0.496
1022,1022,0.823,0.084,0.222
1023,1023,0.663,0.019,0.075
1024,1024,0.522,0.159,-0.405
1025,1025,0.899,0.182,0.488
1026,1026,0.816,0.181,0.482
1027,1027,0.634,0.036,-0.385
1028,1028,-0.048,-0.026,-0.332
1029,1029,0.581,-0.001,0.006
1030,1030,0.903,0.156,0.174
1031,1031,0.744,0.264,0.42
1032,1032,0.444,-0.047,-0.326
1033,1033,0.873,0.134,0.797
1034,1034,0.736,-0.016,-0.707
1035,1035,0.801,0.07,-0.01
1036,1036,0.366,0.098,0.426
1037,1037,0.344,0.074,0.001
1038,1038,0.835,0.099,0.708
1039,1039,0.132,0.021,-0.178
1040,1040,0.644,0.104,0.472
1041,1041,0.865,0.032,0.026
1042,1042,0.645,0.15,0.448
1043,1043,0.682,0.169,0.011
1044,1044,0.638,0.184,0.503
1045,1045,0.548,0.132,0.544
1046,1046,0.328,0.068,0.119
1047,1047,0.191,0.028,-0.191
1048,1048,0.609,0.075,0.367
1049,1049,0.449,0.135,0.304
1050,1050,0.466,0.131,0.202
1051,1051,0.603,0.199,0.501
1052,1052,0.356,0.116,0.109
1053,1053,0.71,0.121,0.213
1054,1054,0.793,0.039,0.935
1055,1055,0.284,-0.104,-0.611
1056,1056,0.509,0.031,0.098
1057,1057,0.257,-0.091,-0.296
1058,1058,0.558,0.014,-0.089
1059,1059,0.456,-0.071,-0.339
1060,1060,0.489,0.049,0.163
1061,1061,0.613,0.072,0.362
1062,1062,0.766,0.187,0.808
1063,1063,0.81,0.009,-0.036
1064,1064,0.978,0.225,0.971
1065,1065,0.778,0.131,0.353
1066,1066,0.834,0.133,0.743
1067,1067,0.952,0.17,0.999
1068,1068,0.882,0.138,0.987
1069,1069,0.926,0.174,0.971
1070,1070,0.639,0.038,-0.475
1071,1071,0.654,-0.042,-0.662
1072,1072,0.955,0.036,-0.174
1073,1073,0.951,0.086,0.296
1074,1074,0.058,-0.137,-0.997
1075,1075,0.822,0.119,0.285
1076,1076,0.717,0.095,0.106
1077,1077,0.618,0.025,-0.041
1078,1078,0.816,0.106,0.45
1079,1079,0.427,0.154,0.329
1080,1080,0.056,-0.065,-0.722
1081,1081,-0.027,0.034,-0.813
1082,1082,0.315,0.015,-0.358
1083,1083,0.374,-0.005,0.172
1084,1084,-0.196,-0.148,0.027
1085,1085,0.474,0.039,0.192
1086,1086,0.498,0.062,0.3
1087,1087,0.242,-0.02,-0.253
1088,1088,0.703,0.033,0.727
1089,1089,0.546,-0.029,0.335
1090,1090,0.994,-0.015,-0.007
1091,1091,0.961,0.073,0.507
1092,1092,0.021,-0.046,0.001
1093,1093,0.605,0.168,0.258
1094,1094,0.885,0.132,0.102
1095,1095,0.453,0.166,0.679
1096,1096,0.839,0.214,0.049
1097,1097,0.878,0.125,0.975
1098,1098,0.453,0.076,0.36
1099,1099,0.565,0.097,0.225
1100,1100,0.543,0.116,0.334
1101,1101,0.511,0.032,0.033
1102,1102,0.255,0.003,-0.397
1103,1103,0.216,-0.026,-0.366
1104,1104,0.256,-0.085,-0.11
1105,1105,0.463,0.146,0.4
1106,1106,0.508,0.107,-0.106
1107,1107,0.843,0.265,0.493
1108,1108,0.842,0.222,0.661
1109,1109,0.898,0.244,0.202
1110,1110,0.847,0.075,0.164
1111,1111,0.917,0.077,-0.318
1112,1112,0.847,0.138,0.347
1113,1113,0.366,-0.009,0.099
1114,1114,0.767,0.146,0.617
1115,1115,0.847,0.143,0.737
1116,1116,-0.118,-0.163,-0.631
1117,1117,0.422,0.06,0.394
1118,1118,0.42,-0.008,-0.155
1119,1119,0.1,-0.135,-0.663
1120,1120,0.539,0.139,0.19
1121,1121,0.601,0.025,0.036
1122,1122,0.466,0.051,-0.291
1123,1123,0.82,0.074,-0.007
1124,1124,0.675,0.043,0.106
1125,1125,0.798,0.107,0.689
1126,1126,0.647,0.296,0.333
1127,1127,0.666,0.033,0.821
1128,1128,0.558,0.195,0.461
1129,1129,0.582,0.031,0.168
1130,1130,0.479,0.074,0.341
1131,1131,0.582,0.104,0.574
1132,1132,0.448,0.115,0.001
1133,1133,0.763,0.125,-0.102
1134,1134,0.068,0.056,0.037
1135,1135,0.873,0.227,0.533
1136,1136,0.731,0.238,0.365
1137,1137,0.674,0.143,0.496
1138,1138,0.639,0.134,0.384
1139,1139,0.184,0.032,-0.099
1140,1140,0.423,0.038,-0.01
1141,1141,0.601,0.082,0.431
1142,1142,0.651,0.09,0.667
1143,1143,0.741,0.09,0.668
1144,1144,0.494,0.073,-0.362
1145,1145,0.491,-0.008,0.419
1146,1146,0.697,0.129,0.257
1147,1147,0.903,0.024,-0.422
1148,1148,0.646,0.137,0.0
1149,1149,-0.494,-0.35,-1.0
1150,1150,0.72,0.23,-0.015
1151,1151,0.242,0.029,-0.246
1152,1152,0.782,0.027,0.5
1153,1153,0.768,0.025,0.984
1154,1154,0.81,0.109,0.501
1155,1155,-0.004,-0.132,-0.563
1156,1156,0.946,0.186,0.957
1157,1157,0.472,0.004,-0.199
1158,1158,0.57,0.003,0.494
1159,1159,0.887,0.103,0.462
1160,1160,0.631,0.105,0.298
1161,1161,0.549,0.107,0.323
1162,1162,0.152,-0.084,-0.489
1163,1163,0.642,0.112,0.55
1164,1164,0.334,0.061,0.196
1165,1165,0.473,0.023,-0.108
1166,1166,0.516,0.077,0.306
1167,1167,0.77,0.138,0.519
1168,1168,0.38,0.051,-0.965
1169,1169,0.51,0.002,0.057
1170,1170,0.49,0.084,0.142
1171,1171,-0.754,-0.137,-0.995
1172,1172,0.665,0.134,0.543
1173,1173,-0.281,-0.166,-0.457
1174,1174,0.132,0.098,-0.014
1175,1175,0.484,0.104,0.123
1176,1176,0.562,0.054,0.062
1177,1177,0.728,0.116,0.607
1178,1178,0.407,-0.045,-0.39
1179,1179,0.284,0.008,-0.282
1180,1180,0.404,0.034,0.051
1181,1181,0.388,0.037,-0.042
1182,1182,0.268,-0.012,-0.748
1183,1183,0.602,0.086,0.236
1184,1184,0.392,0.007,-0.18
1185,1185,0.656,0.085,0.408
1186,1186,0.691,0.101,0.135
1187,1187,0.812,0.235,0.989
1188,1188,0.621,0.073,0.521
1189,1189,0.029,-0.057,-0.419
1190,1190,0.081,-0.027,-0.296
1191,1191,0.74,0.053,0.442
1192,1192,0.712,0.104,0.556
1193,1193,0.589,0.093,0.503
1194,1194,0.883,0.072,0.7
1195,1195,0.482,0.003,0.599
1196,1196,0.801,0.228,0.762
1197,1197,0.059,0.152,-0.108
1198,1198,0.311,0.014,0.042
1199,1199,0.433,0.055,0.463
1200,1200,0.038,-0.023,-0.486
1201,1201,0.55,0.142,0.367
1202,1202,0.633,0.178,0.393
1203,1203,0.702,0.146,0.585
1204,1204,0.747,0.194,0.688
1205,1205,0.208,-0.022,-0.261
1206,1206,0.614,0.014,0.036
1207,1207,0.292,-0.042,-0.215
1208,1208,0.795,0.135,0.213
1209,1209,0.661,0.017,-0.071
1210,1210,0.813,0.078,0.449
1211,1211,0.233,-0.031,-0.195
1212,1212,0.674,0.092,-0.075
1213,1213,0.89,0.148,0.278
1214,1214,0.176,-0.023,-0.329
1215,1215,0.159,-0.147,-0.489
1216,1216,0.478,0.058,-0.093
1217,1217,0.715,0.057,0.299
1218,1218,0.328,-0.012,0.101
1219,1219,0.465,0.074,0.412
1220,1220,0.485,-0.003,0.086
1221,1221,0.771,0.192,0.605
1222,1222,0.265,-0.041,-0.15
1223,1223,0.604,0.164,0.334
1224,1224,0.545,0.134,0.495
1225,1225,0.534,0.05,-0.502
1226,1226,0.073,-0.162,-0.354
1227,1227,0.55,0.058,0.212
1228,1228,0.782,-0.025,-0.05
1229,1229,0.678,0.088,0.143
1230,1230,0.682,0.062,0.314
1231,1231,0.808,0.114,0.459
1232,1232,0.587,0.089,0.331
1233,1233,0.835,0.133,0.666
1234,1234,0.766,0.095,0.493
1235,1235,0.528,0.182,0.253
1236,1236,0.69,0.144,0.691
1237,1237,0.845,0.181,0.699
1238,1238,0.721,0.14,0.577
1239,1239,0.739,0.174,0.543
1240,1240,0.136,-0.054,-0.303
1241,1241,-0.121,0.034,-0.138
1242,1242,0.056,-0.08,0.002
1243,1243,0.617,0.115,0.289
1244,1244,-0.077,0.1,-1.0
1245,1245,0.318,-0.023,0.998
1246,1246,0.0,0.048,0.608
1247,1247,0.575,0.22,-0.055
1248,1248,0.078,-0.041,0.901
1249,1249,0.681,0.069,-0.027
1250,1250,0.562,0.076,0.231
1251,1251,0.508,0.081,0.522
1252,1252,-0.19,-0.012,-0.601
1253,1253,0.945,0.33,0.88
1254,1254,0.304,-0.098,-0.264
1255,1255,0.379,0.022,0.096
1256,1256,0.626,0.044,0.262
1257,1257,0.346,-0.028,-0.061
1258,1258,-0.013,-0.105,-0.998
1259,1259,0.509,0.087,0.294
1260,1260,0.544,0.123,0.41
1261,1261,0.245,0.057,0.316
1262,1262,0.829,0.321,0.536
1263,1263,0.272,0.206,0.333
1264,1264,0.208,0.007,0.988
1265,1265,0.254,-0.019,-0.141
1266,1266,0.048,0.033,-0.131
1267,1267,0.286,0.196,-0.012
1268,1268,0.778,0.103,1.0
1269,1269,0.609,0.055,0.174
1270,1270,0.549,0.046,0.015
1271,1271,0.57,0.109,0.226
1272,1272,0.579,0.09,0.343
1273,1273,0.843,0.104,0.662
1274,1274,0.643,0.081,0.418
1275,1275,0.682,0.085,0.157
1276,1276,0.62,0.095,0.343
1277,1277,0.624,0.105,0.397
1278,1278,0.444,0.026,-0.208
1279,1279,0.629,0.111,0.455
1280,1280,0.748,0.092,0.19
1281,1281,0.656,0.084,0.316
1282,1282,0.708,0.122,0.199
1283,1283,0.688,0.073,0.248
1284,1284,0.657,0.134,-0.314
1285,1285,0.494,0.117,0.243
1286,1286,0.465,0.082,0.292
1287,1287,0.516,0.105,0.351
1288,1288,0.583,0.101,0.26
1289,1289,0.563,0.016,-0.231
1290,1290,0.626,0.042,0.285
1291,1291,0.89,0.279,0.527
1292,1292,0.368,-0.057,0.111
1293,1293,0.443,-0.062,-0.181
1294,1294,0.683,0.137,0.722
1295,1295,0.422,0.038,-0.068
1296,1296,0.645,0.083,0.385
1297,1297,0.945,0.041,-0.0
1298,1298,0.462,-0.026,-0.162
1299,1299,0.804,0.119,0.66
1300,1300,0.71,0.1,0.599
1301,1301,0.765,0.132,0.688
1302,1302,0.554,0.051,0.044
1303,1303,0.618,0.037,-0.062
1304,1304,0.864,0.196,0.481
1305,1305,0.734,0.086,0.115
1306,1306,0.801,0.103,0.488
1307,1307,0.642,0.07,0.244
1308,1308,-0.117,-0.152,-0.491
1309,1309,0.377,-0.006,0.491
1310,1310,0.678,-0.153,-0.137
1311,1311,0.807,0.167,0.661
1312,1312,0.773,0.066,-0.674
1313,1313,0.172,-0.002,-0.198
1314,1314,0.435,0.049,-0.47
1315,1315,0.957,0.187,0.512
1316,1316,0.688,0.054,0.073
1317,1317,0.925,0.4,0.976
1318,1318,0.558,0.002,-0.307
1319,1319,0.919,0.137,0.997
1320,1320,0.573,0.132,0.498
1321,1321,0.154,0.04,-0.242
1322,1322,0.595,0.121,0.286
1323,1323,0.473,0.026,-0.043
1324,1324,0.427,0.019,-0.19
1325,1325,0.357,0.039,-0.164
1326,1326,0.171,-0.03,-0.209
1327,1327,0.559,0.073,-0.171
1328,1328,0.694,0.108,0.471
1329,1329,0.547,0.102,0.287
1330,1330,0.65,0.145,0.487
1331,1331,0.732,0.048,0.196
1332,1332,0.71,0.086,0.337
1333,1333,-0.216,-0.285,-1.0
1334,1334,0.624,0.24,0.979
1335,1335,0.174,0.048,-0.507
1336,1336,0.34,0.139,0.038
1337,1337,-0.415,-0.001,0.996
1338,1338,0.812,0.148,0.74
1339,1339,0.434,0.051,-0.106
1340,1340,0.448,0.078,-0.189
1341,1341,0.534,0.151,0.129
1342,1342,0.452,0.068,-0.294
1343,1343,0.461,0.002,-0.036
1344,1344,0.625,0.049,-0.253
1345,1345,0.492,0.031,-0.289
1346,1346,0.65,0.066,-0.3
1347,1347,0.649,0.043,-0.366
1348,1348,0.598,-0.012,-0.4
1349,1349,0.345,-0.013,-0.462
1350,1350,0.824,0.016,0.991
1351,1351,0.857,0.241,0.551
1352,1352,0.795,0.197,0.271
1353,1353,0.63,0.142,0.162
1354,1354,0.645,0.058,0.992
1355,1355,0.497,0.067,0.276
1356,1356,0.453,0.093,0.135
1357,1357,0.696,0.176,0.412
1358,1358,0.02,-0.228,-0.0
1359,1359,0.871,0.025,-0.019
1360,1360,0.485,0.009,0.144
1361,1361,0.466,-0.026,-0.295
1362,1362,0.98,0.201,0.997
1363,1363,0.0,0.133,-1.0
1364,1364,-0.387,-0.062,-0.989
1365,1365,0.58,0.021,-0.052
1366,1366,0.574,0.04,0.139
1367,1367,0.943,0.015,-0.42
1368,1368,0.632,-0.009,-0.045
1369,1369,0.428,-0.049,-0.678
1370,1370,0.76,0.035,0.455
1371,1371,0.852,0.035,-0.024
1372,1372,0.981,0.234,0.999
1373,1373,0.942,0.136,0.437
1374,1374,0.041,-0.015,0.11
1375,1375,0.173,-0.001,0.142
1376,1376,0.464,0.009,-0.867
1377,1377,0.845,0.116,0.999
1378,1378,0.694,0.257,0.582
1379,1379,0.536,0.054,0.261
1380,1380,0.473,0.049,0.012
1381,1381,0.472,0.146,0.401
1382,1382,0.785,0.202,0.67
1383,1383,0.686,0.103,0.291
1384,1384,0.569,-0.016,0.103
1385,1385,0.591,0.025,0.135
1386,1386,0.614,0.098,-0.071
1387,1387,0.606,0.149,0.201
1388,1388,0.75,0.165,0.338
1389,1389,0.896,0.153,0.411
1390,1390,0.585,0.164,0.064
1391,1391,0.584,0.141,0.337
1392,1392,0.791,0.174,0.438
1393,1393,0.68,0.155,0.542
1394,1394,0.681,0.159,0.502
1395,1395,0.478,0.078,0.004
1396,1396,0.495,0.021,-0.256
1397,1397,0.86,0.086,0.209
1398,1398,0.83,0.137,0.26
1399,1399,0.776,0.132,0.324
1400,1400,0.804,0.151,0.506
1401,1401,0.682,0.073,0.079
1402,1402,0.722,0.098,0.133
1403,1403,0.373,-0.1,-0.342
1404,1404,0.795,0.144,0.32
1405,1405,0.59,0.019,-0.328
1406,1406,0.294,-0.151,-0.403
1407,1407,0.661,0.089,0.45
1408,1408,0.726,0.114,0.776
1409,1409,0.518,0.067,0.347
1410,1410,0.796,0.101,0.562
1411,1411,0.742,0.12,0.628
1412,1412,0.688,0.046,-0.05
1413,1413,0.884,0.142,0.291
1414,1414,0.847,0.128,0.57
1415,1415,0.798,0.136,0.208
1416,1416,0.292,-0.054,-0.396
1417,1417,0.383,0.088,-0.112
1418,1418,0.7,-0.046,-0.397
1419,1419,0.218,0.048,-0.17
1420,1420,0.623,0.039,-0.072
1421,1421,0.883,0.17,0.67
1422,1422,0.736,0.097,0.183
1423,1423,0.608,0.066,0.008
1424,1424,0.644,0.186,0.43
1425,1425,0.716,0.202,0.552
1426,1426,0.545,0.113,0.086
1427,1427,0.261,-0.056,0.908
1428,1428,0.973,0.002,-0.997
1429,1429,0.617,0.133,0.507
1430,1430,0.547,0.148,0.42
1431,1431,0.501,0.115,0.375
1432,1432,0.866,0.152,0.342
1433,1433,0.481,0.183,0.272
1434,1434,0.899,-0.001,-0.002
1435,1435,0.971,0.086,1.0
1436,1436,0.45,0.104,0.138
1437,1437,0.374,0.132,0.953
1438,1438,0.458,0.041,-0.128
1439,1439,0.76,0.167,0.172
1440,1440,0.518,0.077,-0.0
1441,1441,0.506,0.108,0.114
1442,1442,0.703,0.191,0.284
1443,1443,0.638,0.197,0.515
1444,1444,0.873,-0.01,0.999
1445,1445,0.328,-0.041,-0.448
1446,1446,0.54,0.08,-0.299
1447,1447,0.411,0.022,-0.356
1448,1448,0.383,0.121,0.395
1449,1449,0.603,0.102,0.282
1450,1450,0.551,0.031,-0.293
1451,1451,0.846,0.117,0.676
1452,1452,0.718,0.087,0.216
1453,1453,0.343,0.057,0.392
1454,1454,0.602,0.081,0.034
1455,1455,0.675,0.193,0.441
1456,1456,0.344,-0.014,0.208
1457,1457,0.61,0.045,0.412
1458,1458,0.891,0.22,0.908
1459,1459,0.181,0.007,-0.401
1460,1460,0.118,-0.01,-0.48
1461,1461,0.573,0.061,0.009
1462,1462,0.658,-0.032,0.131
1463,1463,0.649,0.116,0.403
1464,1464,0.456,-0.028,0.142
1465,1465,0.526,0.078,0.287
1466,1466,0.14,0.018,0.006
1467,1467,0.504,0.308,0.437
1468,1468,0.855,0.147,0.324
1469,1469,0.862,0.218,0.993
1470,1470,0.541,-0.011,-0.516
1471,1471,0.045,-0.023,-0.42
1472,1472,0.287,0.038,0.121
1473,1473,0.196,0.124,0.07
1474,1474,0.183,-0.001,-0.306
1475,1475,0.62,0.14,0.241
1476,1476,0.707,0.001,-0.253
1477,1477,0.373,0.152,0.628
1478,1478,0.481,0.125,0.395
1479,1479,0.694,0.111,0.598
1480,1480,0.535,0.004,0.019
1481,1481,0.675,0.111,0.346
1482,1482,0.629,0.171,0.455
1483,1483,0.578,0.167,0.493
1484,1484,0.796,0.18,0.332
1485,1485,0.535,0.068,-0.153
1486,1486,0.366,0.018,0.128
1487,1487,0.74,0.139,0.593
1488,1488,0.618,0.056,0.044
1489,1489,0.383,0.064,0.332
1490,1490,0.815,0.202,0.516
1491,1491,0.461,0.126,0.31
1492,1492,0.716,0.157,0.277
1493,1493,0.913,0.169,0.988
1494,1494,0.785,0.364,0.114
1495,1495,0.493,0.122,0.349
1496,1496,0.826,0.288,0.788
1497,1497,0.715,0.099,0.634
1498,1498,0.402,0.077,0.276
1499,1499,0.51,0.092,0.258
1500,1500,0.429,0.121,0.355
1501,1501,0.573,0.149,0.539
1502,1502,0.407,0.117,0.266
1503,1503,0.645,0.148,0.482
1504,1504,0.827,0.038,0.441
1505,1505,0.366,0.001,-0.203
1506,1506,0.732,0.224,0.456
1507,1507,0.988,0.067,-0.778
1508,1508,0.935,-0.014,0.999
1509,1509,0.621,0.147,-0.063
1510,1510,0.446,0.087,0.323
1511,1511,0.552,0.112,0.497
1512,1512,0.685,0.161,0.418
1513,1513,0.624,0.045,0.632
1514,1514,0.567,0.123,0.142
1515,1515,0.559,0.065,0.111
1516,1516,0.895,0.075,0.14
1517,1517,0.533,0.149,0.155
1518,1518,0.679,0.175,0.335
1519,1519,0.791,-0.05,0.999
1520,1520,0.616,0.182,1.0
1521,1521,0.471,0.014,-0.312
1522,1522,0.652,0.057,0.153
1523,1523,0.205,-0.065,-0.64
1524,1524,0.786,0.029,-0.694
1525,1525,-0.233,-0.208,-0.935
1526,1526,0.559,0.091,0.089
1527,1527,0.841,0.158,0.861
1528,1528,-0.244,-0.048,-0.676
1529,1529,0.508,0.058,0.192
1530,1530,0.417,0.04,-0.039
1531,1531,0.299,0.016,-0.375
1532,1532,0.894,-0.058,0.971
1533,1533,0.86,0.133,0.998
1534,1534,-0.342,-0.138,-0.984
1535,1535,0.403,0.004,0.362
1536,1536,0.705,0.087,0.213
1537,1537,0.767,0.105,0.167
1538,1538,0.799,0.157,0.211
1539,1539,0.746,0.068,0.084
1540,1540,0.692,0.029,-0.016
1541,1541,0.979,-0.044,-0.945
1542,1542,0.884,0.178,0.408
1543,1543,0.49,0.04,-0.343
1544,1544,-0.015,0.12,-0.987
1545,1545,0.609,0.115,0.105
1546,1546,0.585,0.118,-0.022
1547,1547,0.628,0.098,0.018
1548,1548,0.562,0.003,-0.288
1549,1549,0.052,-0.063,-0.2
1550,1550,-0.046,-0.082,0.006
1551,1551,0.549,0.054,0.12
1552,1552,0.708,0.127,0.285
1553,1553,0.47,0.116,0.188
1554,1554,0.426,-0.046,-0.42
1555,1555,0.543,0.074,0.374
1556,1556,0.533,0.076,0.004
1557,1557,-0.239,-0.166,-0.196
1558,1558,-0.469,-0.412,-0.999
1559,1559,0.807,0.054,-0.16
1560,1560,0.974,0.338,0.999
1561,1561,0.121,-0.009,-0.166
1562,1562,0.4,0.087,0.228
1563,1563,0.34,0.072,0.382
1564,1564,0.286,0.045,0.179
1565,1565,0.505,0.155,0.232
1566,1566,0.684,0.194,0.61
1567,1567,0.962,0.092,-0.967
1568,1568,0.849,0.078,-0.247
1569,1569,0.298,-0.042,-0.196
1570,1570,0.893,0.109,0.976
1571,1571,0.665,0.051,0.066
1572,1572,0.542,0.072,0.191
1573,1573,0.385,0.117,0.229
1574,1574,0.603,0.161,0.238
1575,1575,0.453,0.05,0.261
1576,1576,0.546,0.061,0.282
1577,1577,0.803,0.055,0.002
1578,1578,0.52,0.06,0.485
1579,1579,0.725,0.009,0.167
1580,1580,0.269,-0.212,-0.009
1581,1581,0.725,0.142,0.528
1582,1582,0.374,0.051,0.1
1583,1583,0.876,0.293,1.0
1584,1584,0.568,0.019,0.195
1585,1585,-0.038,-0.078,-0.991
1586,1586,0.889,0.195,0.403
1587,1587,0.722,0.153,0.653
1588,1588,0.78,0.165,0.334
1589,1589,0.568,0.147,-0.378
1590,1590,0.102,-0.039,-0.301
1591,1591,0.64,0.043,-0.236
