SSID,GameID,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean
191,191,0.512,0.161,0.255
192,192,0.438,0.101,-0.018
193,193,0.256,0.131,0.194
194,194,0.384,0.107,0.212
195,195,0.29,0.04,-0.126
196,196,0.293,0.118,0.268
197,197,0.292,0.037,0.146
198,198,0.403,0.113,0.324
199,199,0.953,0.031,0.089
200,200,0.485,-0.003,-0.524
201,201,0.326,-0.025,-0.028
202,202,0.494,0.136,0.396
203,203,0.623,0.194,0.598
204,204,0.859,0.058,0.996
205,205,0.926,0.053,0.997
206,206,0.92,0.047,-0.998
207,207,0.659,0.073,0.417
208,208,0.804,0.095,0.663
209,209,0.711,0.187,0.998
210,210,0.432,0.016,-0.247
211,211,0.08,-0.146,-0.591
212,212,0.685,0.131,0.357
213,213,0.461,0.064,0.301
214,214,0.904,0.116,0.996
215,215,0.264,-0.169,0.028
216,216,-0.67,-0.38,-1.0
217,217,0.147,0.041,0.098
218,218,0.658,0.108,0.15
219,219,0.028,-0.141,-0.611
220,220,0.506,0.04,-0.13
221,221,0.548,0.143,0.524
222,222,0.562,0.132,0.331
223,223,0.559,0.141,0.433
224,224,0.564,0.048,0.315
225,225,0.518,0.086,0.432
226,226,0.7,-0.027,-0.976
227,227,0.852,0.048,-0.15
228,228,0.315,0.038,0.194
229,229,0.094,-0.013,-0.365
230,230,0.137,-0.024,-0.144
231,231,0.404,0.062,0.195
232,232,0.335,0.023,-0.373
233,233,0.514,0.062,0.333
234,234,0.916,0.171,0.822
235,235,0.849,0.086,0.556
236,236,0.704,0.089,0.412
237,237,0.693,0.058,0.33
238,238,0.727,0.136,0.182
239,239,0.525,0.095,0.148
240,240,-0.012,-0.274,-0.999
241,241,0.835,0.082,0.716
242,242,0.58,-0.03,0.025
243,243,0.191,0.194,-0.327
244,244,0.615,0.031,0.233
245,245,0.378,0.236,0.994
246,246,0.794,0.147,-0.283
247,247,0.413,-0.067,-0.148
248,248,0.228,0.101,-0.33
249,249,0.399,-0.031,0.048
250,250,0.712,0.077,0.698
251,251,0.473,0.117,0.004
252,252,0.61,0.192,0.573
253,253,0.146,-0.04,0.127
254,254,0.193,0.061,0.079
255,255,0.725,0.212,0.992
256,256,0.49,-0.023,0.336
257,257,0.455,0.052,0.334
258,258,0.263,-0.005,0.48
259,259,0.504,0.055,0.052
260,260,0.887,0.175,0.986
261,261,0.623,0.09,0.257
262,262,0.379,-0.04,-0.157
263,263,0.747,0.225,0.999
264,264,0.902,0.092,0.916
265,265,0.952,0.27,0.996
266,266,0.556,-0.042,0.077
267,267,0.821,0.067,0.313
268,268,0.619,0.048,0.599
269,269,0.484,0.044,0.072
270,270,0.643,0.123,0.293
271,271,0.624,0.106,0.196
272,272,0.457,0.034,-0.106
273,273,0.85,0.16,0.723
274,274,0.271,-0.008,-0.323
275,275,0.622,0.047,0.316
276,276,0.859,0.067,0.311
277,277,0.537,0.116,0.25
278,278,0.28,-0.06,-0.969
279,279,0.762,0.102,-0.044
280,280,0.895,0.155,-0.083
281,281,0.313,0.075,-0.449
282,282,0.139,-0.002,-0.336
283,283,0.35,-0.018,-0.462
284,284,0.543,0.069,0.327
285,285,0.698,0.076,0.23
286,286,0.967,0.527,1.0
287,287,0.293,0.136,0.157
288,288,0.128,-0.007,-0.001
289,289,-0.052,-0.08,-0.993
290,290,0.281,0.082,0.196
291,291,0.365,0.062,0.102
292,292,0.208,0.031,-0.054
293,293,0.73,0.123,0.441
294,294,0.221,-0.092,-0.213
295,295,0.663,0.085,0.262
296,296,0.755,0.071,-0.186
297,297,0.289,0.009,-0.358
298,298,0.6,-0.028,0.2
299,299,-0.176,-0.375,-0.999
300,300,0.362,0.138,0.001
301,301,0.323,0.02,-0.108
302,302,0.462,0.067,0.181
303,303,0.48,0.097,0.463
304,304,0.534,0.076,0.196
305,305,0.604,0.107,0.415
306,306,0.598,0.139,0.588
307,307,0.482,0.079,-0.146
308,308,0.449,0.096,0.094
309,309,0.622,0.078,0.097
310,310,0.581,0.126,0.356
311,311,0.944,0.242,-0.996
312,312,-0.1,-0.248,-0.96
313,313,0.855,-0.08,-0.839
314,314,0.784,-0.175,0.997
315,315,0.789,0.191,0.999
316,316,0.963,0.007,0.999
317,317,0.962,-0.014,0.994
318,318,0.691,0.112,0.99
319,319,0.026,0.0,-0.995
320,320,0.54,0.032,-0.52
321,321,0.042,0.02,-0.239
322,322,0.522,0.137,0.53
323,323,0.494,0.078,0.264
324,324,0.345,0.06,0.045
325,325,0.511,0.177,0.461
326,326,0.344,0.058,0.023
327,327,0.588,0.165,0.357
328,328,0.606,0.183,0.187
329,329,-0.138,0.029,-0.377
330,330,0.261,0.015,-0.245
331,331,0.498,0.181,0.431
332,332,0.246,0.062,-0.184
333,333,0.358,0.112,0.158
334,334,0.393,0.02,0.064
335,335,0.455,0.079,0.303
336,336,0.085,-0.083,-0.573
337,337,0.516,0.109,0.966
338,338,0.437,0.014,-0.329
339,339,0.431,0.288,-0.01
340,340,0.288,0.167,0.997
341,341,0.542,0.55,-1.0
342,342,0.57,0.041,0.162
